panel_type,panel_id,series_id,roc_auc,pr_auc,balanced_accuracy
random_robust_25_gene_panel,41,GSE92592,0.9736842105263158,0.9523809523809524,0.9736842105263156
random_robust_25_gene_panel,42,GSE110147,1.0,1.0,0.9545454545454546
random_robust_25_gene_panel,42,GSE150910,0.8726552926760298,0.8680753762585453,0.7475728155339806
random_robust_25_gene_panel,42,GSE53845,1.0,1.0,0.9125
random_robust_25_gene_panel,42,GSE92592,0.85,0.8538461538461538,0.825
random_robust_25_gene_panel,43,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,43,GSE150910,0.9480158356112736,0.9438051275596628,0.912621359223301
random_robust_25_gene_panel,43,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,43,GSE92592,0.9486842105263158,0.9281410256410256,0.9486842105263158
random_robust_25_gene_panel,44,GSE110147,1.0,1.0,0.6818181818181819
random_robust_25_gene_panel,44,GSE150910,0.668724667734942,0.6025449531797552,0.6650485436893204
random_robust_25_gene_panel,44,GSE53845,0.99375,0.998765243902439,0.5
random_robust_25_gene_panel,44,GSE92592,0.8684210526315789,0.8,0.868421052631579
random_robust_25_gene_panel,45,GSE110147,1.0,1.0,0.6818181818181819
random_robust_25_gene_panel,45,GSE150910,0.616504854368932,0.5659340659340659,0.616504854368932
random_robust_25_gene_panel,45,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,45,GSE92592,0.5,0.5128205128205128,0.5
random_robust_25_gene_panel,46,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,46,GSE150910,0.920633424450938,0.8904982527331613,0.8592233009708738
random_robust_25_gene_panel,46,GSE53845,0.996875,0.999390243902439,0.5
random_robust_25_gene_panel,46,GSE92592,0.9210526315789472,0.8988138710274933,0.8986842105263158
random_robust_25_gene_panel,47,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,47,GSE150910,0.8087472900367613,0.7974667319776424,0.6067961165048543
random_robust_25_gene_panel,47,GSE53845,0.996875,0.999390243902439,0.65
random_robust_25_gene_panel,47,GSE92592,0.95,0.9512820512820512,0.9
random_robust_25_gene_panel,48,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,48,GSE150910,0.7611461966255066,0.6798886338677489,0.7524271844660194
random_robust_25_gene_panel,48,GSE53845,1.0,1.0,0.825
random_robust_25_gene_panel,48,GSE92592,0.7868421052631578,0.7198717948717949,0.7907894736842105
random_robust_25_gene_panel,49,GSE110147,1.0,1.0,0.6818181818181819
random_robust_25_gene_panel,49,GSE150910,0.8866999717221228,0.8280883829929696,0.883495145631068
random_robust_25_gene_panel,49,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,49,GSE92592,0.8157894736842105,0.7407407407407407,0.8157894736842105
random_robust_25_gene_panel,50,GSE110147,1.0,1.0,0.9545454545454546
random_robust_25_gene_panel,50,GSE150910,0.9237439909510792,0.8793997648877567,0.9223300970873788
random_robust_25_gene_panel,50,GSE53845,0.99375,0.9988095238095238,0.5
random_robust_25_gene_panel,50,GSE92592,0.7894736842105263,0.7142857142857143,0.7894736842105263
random_robust_25_gene_panel,51,GSE110147,1.0,1.0,0.5909090909090909
random_robust_25_gene_panel,51,GSE150910,0.809689885945895,0.7263522884882108,0.8106796116504855
random_robust_25_gene_panel,51,GSE53845,0.965625,0.9923013462020394,0.5
random_robust_25_gene_panel,51,GSE92592,0.7631578947368421,0.6896551724137931,0.763157894736842
random_robust_25_gene_panel,52,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,52,GSE150910,0.9179941559053634,0.8745091765394809,0.8932038834951457
random_robust_25_gene_panel,52,GSE53845,0.996875,0.999390243902439,0.5
random_robust_25_gene_panel,52,GSE92592,0.9210526315789476,0.8695652173913043,0.9210526315789472
random_robust_25_gene_panel,53,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,53,GSE150910,0.6986520878499387,0.6245458335815117,0.6941747572815534
random_robust_25_gene_panel,53,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,53,GSE92592,0.9473684210526316,0.9090909090909092,0.9473684210526316
random_robust_25_gene_panel,54,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,54,GSE150910,0.9216231501555284,0.8859080519736281,0.8932038834951457
random_robust_25_gene_panel,54,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,54,GSE92592,0.725,0.7320512820512821,0.675
random_robust_25_gene_panel,55,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,55,GSE150910,0.8817513431991706,0.811291301284059,0.8786407766990292
random_robust_25_gene_panel,55,GSE53845,0.990625,0.9981242182614134,0.5
random_robust_25_gene_panel,55,GSE92592,0.9473684210526316,0.9090909090909092,0.9473684210526316
random_robust_25_gene_panel,56,GSE110147,1.0,1.0,0.9772727272727272
random_robust_25_gene_panel,56,GSE150910,0.9551324347252332,0.9371553524587528,0.9077669902912622
random_robust_25_gene_panel,56,GSE53845,1.0,1.0,0.9375
random_robust_25_gene_panel,56,GSE92592,0.6,0.6102564102564103,0.575
random_robust_25_gene_panel,57,GSE110147,1.0,1.0,0.931818181818182
random_robust_25_gene_panel,57,GSE150910,0.9085210670185692,0.8931546347775938,0.8106796116504855
random_robust_25_gene_panel,57,GSE53845,0.996875,0.999390243902439,0.9125
random_robust_25_gene_panel,57,GSE92592,0.975,0.9756410256410256,0.95
random_robust_25_gene_panel,58,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,58,GSE150910,0.645631067961165,0.5852272727272727,0.6407766990291262
random_robust_25_gene_panel,58,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,58,GSE92592,0.736842105263158,0.6666666666666666,0.7368421052631579
random_robust_25_gene_panel,59,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,59,GSE150910,0.866151380903007,0.8551737352944095,0.7524271844660194
random_robust_25_gene_panel,59,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,59,GSE92592,0.85,0.8538461538461538,0.8
random_robust_25_gene_panel,60,GSE110147,1.0,1.0,0.6363636363636364
random_robust_25_gene_panel,60,GSE150910,0.5436893203883495,0.5228426395939086,0.5388349514563107
random_robust_25_gene_panel,60,GSE53845,0.99375,0.9988095238095238,0.5
random_robust_25_gene_panel,60,GSE92592,0.5,0.5128205128205128,0.5
random_robust_25_gene_panel,61,GSE110147,1.0,1.0,0.7954545454545454
random_robust_25_gene_panel,61,GSE150910,0.9178056367235368,0.8863755425929373,0.8980582524271845
random_robust_25_gene_panel,61,GSE53845,1.0,1.0,0.9375
random_robust_25_gene_panel,61,GSE92592,0.75,0.7564102564102564,0.675
random_robust_25_gene_panel,62,GSE110147,1.0,1.0,0.5909090909090909
random_robust_25_gene_panel,62,GSE150910,0.7637854651710811,0.7552971751576096,0.616504854368932
random_robust_25_gene_panel,62,GSE53845,0.996875,0.999390243902439,0.8
random_robust_25_gene_panel,62,GSE92592,0.8960526315789474,0.874329122674711,0.8486842105263157
random_robust_25_gene_panel,63,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,63,GSE150910,0.6310679611650485,0.5754189944134078,0.6262135922330097
random_robust_25_gene_panel,63,GSE53845,1.0,1.0,0.525
random_robust_25_gene_panel,63,GSE92592,0.5789473684210527,0.5555555555555556,0.5789473684210527
random_robust_25_gene_panel,64,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,64,GSE150910,0.8945235177679328,0.872157391498668,0.8398058252427185
