feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
SULT1B1,69,0.19714285714285715,0.12,0.28,0.42,0.0,0.52,0.0,0.04,5
COL17A1,68,0.19428571428571428,0.1,0.28,0.4,0.0,0.5,0.02,0.06,6
DUOX1,67,0.19142857142857142,0.1,0.24,0.36,0.04,0.48,0.06,0.06,7
COL3A1,66,0.18857142857142858,0.12,0.26,0.38,0.04,0.46,0.02,0.04,7
IL13RA2,66,0.18857142857142858,0.1,0.28,0.38,0.02,0.5,0.02,0.02,7
SPATA18,66,0.18857142857142858,0.1,0.26,0.4,0.0,0.5,0.02,0.04,6
ZNF521,65,0.18571428571428572,0.12,0.26,0.38,0.02,0.46,0.04,0.02,7
COMP,65,0.18571428571428572,0.1,0.26,0.4,0.02,0.52,0.0,0.0,5
AFF3,64,0.18285714285714286,0.1,0.24,0.36,0.02,0.52,0.0,0.04,6
PAMR1,62,0.17714285714285713,0.08,0.24,0.38,0.02,0.44,0.04,0.04,7
CRISPLD1,62,0.17714285714285713,0.1,0.24,0.38,0.02,0.48,0.0,0.02,6
HHLA2,55,0.15714285714285714,0.1,0.22,0.34,0.0,0.44,0.0,0.0,4
FAM13C,53,0.15142857142857144,0.08,0.18,0.34,0.02,0.4,0.02,0.02,7
ITGB8,47,0.13428571428571429,0.08,0.2,0.26,0.02,0.36,0.0,0.02,6
ASPA,44,0.12571428571428572,0.08,0.14,0.26,0.02,0.34,0.02,0.02,7
DZIP3,43,0.12285714285714286,0.08,0.18,0.24,0.0,0.36,0.0,0.0,4
PGM5,41,0.11714285714285715,0.06,0.12,0.26,0.0,0.38,0.0,0.0,4
CAP2,40,0.11428571428571428,0.06,0.14,0.28,0.0,0.32,0.0,0.0,4
PTPRB,37,0.10571428571428572,0.06,0.16,0.26,0.0,0.26,0.0,0.0,4
SLC18A2,37,0.10571428571428572,0.04,0.12,0.24,0.0,0.34,0.0,0.0,4
TP63,37,0.10571428571428572,0.06,0.14,0.22,0.0,0.32,0.0,0.0,4
WDR49,35,0.1,0.08,0.14,0.16,0.0,0.32,0.0,0.0,4
MS4A2,32,0.09142857142857143,0.02,0.1,0.22,0.0,0.3,0.0,0.0,4
APLNR,31,0.08857142857142856,0.06,0.16,0.22,0.0,0.18,0.0,0.0,4
CCL13,28,0.08,0.04,0.14,0.16,0.0,0.22,0.0,0.0,4
LRRC32,26,0.07428571428571429,0.04,0.08,0.18,0.0,0.22,0.0,0.0,4
ITLN2,25,0.07142857142857142,0.02,0.12,0.18,0.0,0.18,0.0,0.0,4
FIBIN,20,0.05714285714285714,0.04,0.12,0.08,0.0,0.14,0.0,0.02,5
SLC11A1,19,0.054285714285714284,0.02,0.04,0.12,0.0,0.2,0.0,0.0,4
SYNPO2,19,0.054285714285714284,0.02,0.06,0.12,0.0,0.18,0.0,0.0,4
