series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200999_x_st,-0.0578018936981133,0.296937094282051,-2.11855787703729,0.0357053223211113,0.119972547575226,-4.68765514427289
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,spike_in-control-44_st,0.223683723773585,1.3935731025641,2.1163044544826,0.0358994339578656,0.120400150015114,-4.69227485508795
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000202498_x_st,-0.119260958339623,0.590816771794872,-2.11036446518265,0.0364154686519777,0.121903827216007,-4.70443010614021
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212575_x_st,0.0535203016981132,0.301881178846154,2.10825871400324,0.0365999310994004,0.122294018385937,-4.70873144953734
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA27_x_st,-0.0791119938452829,0.329322929038462,-2.10490633014411,0.0368952559811534,0.123052511151958,-4.71557087904569
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,spike_in-control-45_st,0.05463033944,0.204768515820513,2.0993796051692,0.0373866007258055,0.124130072787197,-4.72682388767082
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000201674_x_st,0.0586793145849057,0.298508125961539,2.09902211053391,0.0374185759363102,0.124130072787197,-4.72755082298948
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-658_st,-0.126704466679245,0.566335367307692,-2.09822892194712,0.0374896046142333,0.124130072787197,-4.72916328774655
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-617_st,0.11397394545283,0.333673786730769,2.09778214515061,0.0375296636879852,0.124130072787197,-4.73007128211352
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-411-star_st,0.126660792094339,0.487894912371795,2.09701606674106,0.0375984376972462,0.124130072787197,-4.73162777502914
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-519e-star_st,0.143131989924528,0.401328520128205,2.09643999163925,0.0376502256203515,0.124130072787197,-4.7327978716424
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,HBII-85-13_x_st,0.0567009773433961,0.277953710769231,2.09587801664,0.0377008050053286,0.124130072787197,-4.73393903609651
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-9-star_st,0.105712582150943,0.435011826282051,2.09304336213598,0.0379568227337439,0.124744959385899,-4.73969076954835
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000201133_st,-0.0687730658075471,0.379420881089744,-2.09075363869667,0.0381647124638244,0.125163954469566,-4.74433142445413
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-92a-2-star_st,0.109688729381132,0.378242687948718,2.0901102114027,0.0382233064732156,0.125163954469566,-4.74563461482631
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30b_st,-0.256632347169811,5.61522141025641,-2.08896448623609,0.0383278336540326,0.125278454466266,-4.74795421501136
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-488-star_st,0.0989081313622642,0.355574374807692,2.07983122533716,0.0391698889374227,0.127678297290185,-4.76640213630475
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U18C_x_st,0.0595824273207545,0.33756107948718,2.07946662711129,0.0392038303173084,0.127678297290185,-4.76713698764245
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-921_st,0.166326287867924,0.828460924217949,2.07647814845211,0.0394829869742108,0.128135738932016,-4.77315570346933
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-519b-5p_st,0.0818516294018865,0.286414728198718,2.07643977511419,0.0394865825137529,0.128135738932016,-4.77323293310463
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-631_st,0.130692217245283,0.482608398076923,2.07277939303307,0.0398308487612719,0.129020429170954,-4.78059355949166
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,mgh18S-121_st,-0.17967550264151,1.77360967948718,-2.0706431185176,0.0400329554305692,0.129442284973887,-4.78488369518669
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,14qII-18_x_st,0.069751260754717,0.286686747435897,2.06970351596928,0.040122126199722,0.129498116999461,-4.78676931011014
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212539_st,-0.0584537253018868,0.325173340064103,-2.06686449537233,0.0403925908427441,0.130137846346659,-4.79246179839633
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212206_st,0.0674533396150943,0.403976916282051,2.06371335014713,0.0406946167468619,0.130876794216247,-4.79877146513272
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ACA17_x_st,0.0584101913207545,0.374834596153846,2.06237496122438,0.0408234800316992,0.131057197035811,-4.8014486189269
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,14qII-2_st,0.0563340926415093,0.339538923717949,2.05644570100224,0.041398570964127,0.132507331261277,-4.81328902765991
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000200536_st,-0.0601188088490565,0.293362308141026,-2.0562021974762,0.0414223362021648,0.132507331261277,-4.81377460090998
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U49A_x_st,-0.147099729811321,1.03561187948718,-2.05021600436109,0.0420102499209757,0.134001471108127,-4.82569461480405
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-23b_st,0.0930865698113213,9.21915173076923,2.04993301549733,0.0420382183098788,0.134001471108127,-4.82625730190432
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,mgU6-77_st,-0.0773575501320757,0.371907430448718,-2.04538318484167,0.0424900762257785,0.135133506804733,-4.83529395568003
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000199452_st,0.0896516856113207,0.507390955192308,2.0448487940843,0.042543419410485,0.135133506804733,-4.83635408842318
