panel_type,panel_id,feature_count,features,mean_external_roc_auc,min_external_roc_auc,mean_external_pr_auc,mean_external_balanced_accuracy,pooled_external_roc_auc,pooled_external_pr_auc,pooled_external_balanced_accuracy
random_robust_25_gene_panel,288,19,PGC;NPR1;KLHL13;ARMC4;AFF3;HECW2;TRIM2;TP63;HMCN1;DNAH3;MFSD2A;THY1;SULF1;PLA2G4F;COL3A1;MAP1A;IL1RL1;COL1A2;CLEC4E,0.7836316747572816,0.5,0.7733877351462097,0.6488305383936452,0.5427448725321066,0.5814727075011277,0.5585585585585585
random_robust_25_gene_panel,289,19,SCN1A;LRRIQ1;CCL13;SULF1;DES;INMT;CTSK;SLCO4A1;WDR49;BPIFA1;ANK2;HSD17B6;LTBP1;CXCL14;ZNF385B;C12ORF75;SNTN;C6ORF118;SYNPO2,0.9372721026338113,0.868421052631579,0.9038914514741638,0.6777593254982115,0.8430132259919494,0.8126716754425195,0.740080506037953
random_robust_25_gene_panel,290,19,SCGB3A1;LRRC46;PLLP;C12ORF75;OGN;CHST9;DSC3;HHLA2;FANK1;PSD3;SNTN;HIF3A;ARMC3;LRRC17;C6ORF118;ITLN2;NECAB1;TMEM100;ABCA13,0.9333206413621007,0.8421052631578947,0.9060137367284614,0.7849912319412831,0.8686409814069388,0.847132185851413,0.7876940770557792
random_robust_25_gene_panel,291,19,DUOX1;MAP1A;COMP;MFSD2A;CTSK;FAP;RGS22;PGC;C6;CAPSL;MDH1B;SFRP4;MORN5;TRIM29;GRIA1;CCDC146;MMP7;FAM83D;TEKT1,0.917748863923878,0.7223112451691961,0.901763614807928,0.6850500243879779,0.7712861797968181,0.7769103525146449,0.635997699827487
random_robust_25_gene_panel,292,19,CP;COL3A1;CLIC6;CAPN13;COL14A1;COL17A1;SYNPO2;ACTG2;C6ORF118;THY1;OGN;HMCN1;CCDC113;S100A8;SFRP4;DNAH12;S1PR1;NEK10;ABCA13,0.8236415456588497,0.5789473684210527,0.7982597686683448,0.5719213081246807,0.6265669925244394,0.6313441956987229,0.5833812535940195
random_robust_25_gene_panel,293,19,HSPA4L;PLLP;SYTL2;NPR1;LRRIQ1;S100A8;SPATA18;TNC;MNS1;LRRN4;CAPSL;F2RL3;SPAG17;C12ORF75;PIH1D2;ST6GALNAC1;GPX3;IL13RA2;KLHL13,0.8632858893392402,0.6,0.8516981177959352,0.7787014563106796,0.8110791642706536,0.8008111977003671,0.7822886716503739
random_robust_25_gene_panel,294,19,TTC25;POSTN;CLIC6;CCDC80;BPIFA1;SNTN;OGN;TEKT1;CXCL14;VTCN1;DCLK1;PAMR1;DNAH9;SLC19A3;GOLM1;GRIA1;LRRC46;FCN3;CHST9,0.8804695367885261,0.6578947368421053,0.8572069084447459,0.6280659172202351,0.8124209315698678,0.7885792503779949,0.7155836687751581
random_robust_25_gene_panel,295,19,DNAH9;ZBTB16;CXCL14;HMCN1;CYP24A1;SERPINI2;SPATA18;FIBIN;SLN;DCDC1;CAPS;KRT15;NECAB1;DIO2;SCN1A;RSPH1;GRASP;BPIFA1;VWA3B,0.9116117893943078,0.736842105263158,0.8924253863512747,0.824454899660891,0.8761740463868124,0.861177280714003,0.8287329883074563
random_robust_25_gene_panel,296,19,TMPRSS4;DSC3;LRRC32;SPAG17;C12ORF75;CCDC80;AFF3;MS4A15;PSD3;CCDC146;IL1RL1;CD24;VSIG1;COL17A1;WDR49;PIH1D2;MFSD2A;OGN;SCGB3A1,0.9120456005576199,0.7881578947368422,0.8900312065235647,0.7100539438844242,0.8342534023385086,0.826419419506663,0.718094690435116
random_robust_25_gene_panel,297,19,CXCL13;TMPRSS4;SCGB3A1;MT1M;ITGB8;OGN;CDH2;CRTAC1;HSD17B6;MSMB;EFHC2;PAPSS2;PIH1D2;AGBL2;FNDC1;RGS22;IQCG;CCDC60;GPX8,0.965964567075621,0.9178056367235367,0.960700556745326,0.649428334184977,0.8895342150661301,0.8996618897924717,0.6736630247268545
random_robust_25_gene_panel,298,19,GEM;PTGFRN;COL1A1;C1ORF194;BPIFA1;COL6A3;NEK10;COMP;ACTG2;ITLN2;TNC;DNAH12;ACVRL1;CAPSL;DNAH5;MDH1B;SIX4;IGF1;SMAD6,0.8943586758821954,0.736842105263158,0.8579344264798203,0.6681028475867515,0.7870040253018977,0.7533021360851682,0.7127276212382596
random_robust_25_gene_panel,299,19,ST6GALNAC1;PEBP4;FANK1;DNAH9;RXFP1;GEM;CDH3;PRUNE2;S100A8;CP;LRRC17;DNAH7;CLEC4E;PLLP;MNS1;HDC;CCL18;HMCN1;SFTA2,0.7862161471640265,0.5526315789473684,0.7728356698944934,0.6498525108003901,0.5049453709028177,0.5617616810860222,0.5301897642323175
random_robust_25_gene_panel,300,19,CAPN13;VTCN1;CP;DNAH6;SIX4;ZNF385B;CD24;HDC;DNAH9;EFHC2;IGF1;VSIG1;MUC16;RTKN2;DES;TRIM2;SLCO2A1;CDHR3;MYH11,0.7723556463975472,0.5263157894736843,0.764998636487592,0.5223556463975473,0.47180371861222925,0.5455682206464029,0.469906076289055
random_robust_25_gene_panel,301,19,GPX8;GEM;FANK1;PLA2G1B;ZNF385D;PRUNE2;PEBP4;CXCL13;PLLP;CDHR3;CDH3;ASPN;SYNPO2;MT1M;MMP7;SLC44A4;ST6GALNAC1;TTC25;FAP,0.7938170669391926,0.5436893203883495,0.777769483427889,0.6695148824731731,0.4684301322599195,0.5445647632623545,0.5045236726087791
random_robust_25_gene_panel,302,19,RSPH1;PLA2G1B;IQCG;COL15A1;PEBP4;TGFB3;MUC16;CWH43;SLCO2A1;ITGB8;SNTN;VWA3B;SCGB3A1;SIX4;VTCN1;SLC27A2;CRTAC1;FNDC1;MYH11,0.8406299765343228,0.6519935903478179,0.8086948913832858,0.593824034932875,0.5861606287138202,0.6071251581375018,0.5550124592677784
random_robust_25_gene_panel,303,19,COL3A1;SPATA18;HHLA2;CHST9;EFHC2;ZNF385D;ADH7;POSTN;LRRIQ1;NPR1;ARMC4;C6;ABCA13;STOX1;NECAB1;HYDIN;CP;WDR66;PACRG,0.74765625,0.5,0.7527361827704815,0.6625,0.41828637147786074,0.5193129373703321,0.491700210849147
random_robust_25_gene_panel,304,19,CCDC17;CCL18;HHLA2;SMAD6;HDC;CFH;CP;SLCO4A1;THY1;TRIM2;FNDC1;CXCL13;WDR63;C20ORF85;CLIC6;MMP7;SLC27A2;DUOX1;ZBTB16,0.7881323454266735,0.5263157894736843,0.7746345029239765,0.5381323454266734,0.5333525014376078,0.5764329407753149,0.5160053670691969
random_robust_25_gene_panel,305,19,SMAD6;AGBL2;VCAM1;ARMC3;ST6GALNAC1;IL13RA2;PGC;LRRN1;HHLA2;MAP1A;NEK10;MUC4;SFTA2;CAPSL;DTHD1;HYDIN;TNC;SPATA18;CCDC146,0.9306150190255542,0.8540390234706381,0.8995611432685806,0.6900752543317694,0.8324132643281579,0.8081400025586134,0.71794134560092
random_robust_25_gene_panel,306,19,CCDC113;VTCN1;AGER;WDR63;AGBL2;EFCAB1;FIBIN;CHST9;TTC25;CCDC146;HSD17B6;ID1;ITLN2;IL1RL1;SPAG17;SPATA17;COL6A3;COL1A2;PEBP4,0.8005137806591722,0.5526315789473684,0.7840420994229405,0.7368063942955358,0.5926394479585969,0.6058404990219775,0.6409814069388537
random_robust_25_gene_panel,307,19,WDR63;S1PR1;SPATA18;TMEM45A;LRRC32;CAPSL;EFCAB1;PAMR1;MYH11;TMEM100;RSPH1;VSIG1;SLAMF7;LRRN4;PACRG;MAP1A;MME;COL6A3;AGBL2,0.8876496138457417,0.6578947368421053,0.8632479733754022,0.7514110187206764,0.8326816177880008,0.8012049043585524,0.7692926969522714
random_robust_25_gene_panel,308,19,HIF3A;DNAH12;PTGFRN;VIPR1;STOX1;ACVRL1;ABCA13;DCDC1;KLHL13;ST6GALNAC1;VCAM1;HDC;CAPSL;OGN;RSPH4A;ALOX15;MUC16;CLIC6;ZNF385B,0.9591533504323538,0.8892449806767839,0.9511617250660018,0.7619228178566452,0.8886141460609545,0.8966931532443234,0.7589610887483228
random_robust_25_gene_panel,309,19,ZBTB16;MSMB;TMEM232;PLA2G1B;SCN1A;HHLA2;DNAH10;HYDIN;MFSD2A;RSPH1;CACNA2D2;CDH3;MNS1;DIO2;ANK2;SLC6A4;ARMC4;SIX1;PLLP,0.963236341041122,0.8818927325855406,0.9480660178009102,0.8243952362149858,0.8906459651140501,0.87694374681815,0.8025493578685068
random_robust_25_gene_panel,310,19,ABCA13;PACRG;DNAH7;ASPN;VIPR1;MS4A15;NEK10;DSC3;CYP24A1;EFHC2;ZBBX;STOX1;KRT15;DNAH12;RTKN2;CXCL13;COL14A1;VSIG1;SLN,0.9258462278800026,0.8157894736842105,0.8906341061352234,0.686184791192456,0.8432240751389688,0.8093240003942413,0.7490320107341384
random_robust_25_gene_panel,311,19,NEK10;TDO2;F2RL3;NELL2;ZBBX;CSF3R;ST6GALNAC1;GSTA1;CDHR3;ALOX15;AGER;CCDC146;COL3A1;ASPN;COL14A1;PGC;SFTA2;CYP24A1;PIH1D2,0.9329827835167261,0.8157894736842105,0.9026473888531965,0.8996391159938681,0.8904926202798543,0.8564114097049762,0.8858347709411539
random_robust_25_gene_panel,312,19,DNAH9;SLC6A4;SLCO2A1;DNAH3;IQUB;PSD3;SYTL2;DES;C6;SLC39A8;STOML3;VWA3B;ITLN2;RXFP1;MDH1B;CDH3;CSF3R;ZBTB16;EFCAB1,0.940665944009803,0.8626637760392121,0.9322579197581863,0.837378640776699,0.8778033352501438,0.8702542599066201,0.8131876557408473
random_robust_25_gene_panel,313,19,TRIM29;ZNF385B;MUC5B;NPR1;PAPSS2;DNAAF1;RPGRIP1L;CSF3R;PLA2G4F;DTHD1;MSMB;TTC25;AFF3;TGFB3;CACNA2D2;IQUB;FCN3;MYH11;HSPA4L,0.8996630219624847,0.6986520878499387,0.8987608174540995,0.7366394527802295,0.7837262794709604,0.824283588497675,0.7572742955721679
random_robust_25_gene_panel,314,19,ROPN1L;PTPRB;STOML3;DNAH9;CDHR3;DSC3;MNS1;CCDC80;DNAH5;CLDN1;MUC5B;TDO2;INMT;MAP1A;CFH;ABCA3;SPATA18;CHST9;DNAH7,0.9431263441293639,0.8050711659911396,0.9181064395392531,0.7719956333906257,0.7855280812727622,0.7534646253837343,0.7260686218133027
random_robust_25_gene_panel,315,19,COL1A1;COL1A2;AK7;IL18R1;RXFP1;ALOX15;RPGRIP1L;TMEM45A;STOML3;MUC5B;SMAD6;GRIA1;TP63;BPIFA1;HECW2;AMPD1;SLC27A2;ANKRD1;FANK1,0.74609375,0.5,0.7524423746984723,0.5795454545454546,0.40532873298830746,0.5157967660653566,0.44508338125359403
random_robust_25_gene_panel,316,19,HIF3A;TDO2;SCN1A;MFSD2A;COMP;SYNPO2;VWA3B;CCDC60;WDR63;SPATA17;MYH11;CACNA2D2;C11ORF88;VSIG1;HSPA4L;DNAH5;MSMB;C20ORF85;GPX3,0.8987357432368743,0.75,0.8969544950942017,0.887742718446602,0.8545332566609163,0.8706933021833032,0.8571017826336975
random_robust_25_gene_panel,317,19,ABCA13;C20ORF85;BPIFA1;CTSK;SPAG17;COL15A1;DNAH5;PSD3;KRT5;ZNF385D;CRISPLD1;RTKN2;GRASP;CHST9;SCGB3A1;TMPRSS4;CYP24A1;SIX4;SPP1,0.8373197827936558,0.631578947368421,0.8299768808591224,0.5705160960654062,0.7279662641364769,0.7234358401398839,0.6078014184397162
random_robust_25_gene_panel,318,19,SLC19A3;TMPRSS4;COL17A1;PCDH7;C9ORF135;MORN5;FNDC1;PSD3;SYNPO2;NPR1;PTGFRN;PAMR1;ZNF385B;ZBTB16;WDR66;MNS1;ANK2;S1PR1;SIX4,0.9586733706733608,0.8947368421052632,0.9420270893102766,0.6921308124680634,0.9111175004792025,0.9084360255986521,0.7667433390837646
random_robust_25_gene_panel,319,19,SLC19A3;DUOX1;ARMC3;IL13RA2;ABCA13;CCDC146;COL15A1;TEKT1;POSTN;DNAAF1;NEK10;RTKN2;CFH;EFHC2;FAP;FANK1;CACNA2D2;CCL18;IL18RAP,0.7784236075625959,0.5263157894736843,0.768547032474804,0.5852417893807776,0.495476327391221,0.5570370072868103,0.5053670691968564
random_robust_25_gene_panel,320,19,VWA3B;PRUNE2;FCN3;FAM83D;RGS22;PROM1;COMP;WDR66;NEK10;COL1A2;SCGB3A1;SPAG17;BPIFB1;ASPN;PIH1D2;ADH7;GPX8;DCDC1;C20ORF85,0.8216745510886982,0.5,0.8076987313054578,0.5752427184466019,0.7028177113283496,0.6839528197412432,0.6409622388345793
random_robust_25_gene_panel,321,19,ACVRL1;PCDH7;CAPN13;MSMB;FAP;CDH3;DES;VCAM1;ANK2;F2RL3;FANK1;CDHR3;SPATA18;IL1RL1;WDR63;SPAG6;SYTL2;ZBBX;CWH43,0.9250503234592278,0.8407894736842104,0.8948941101274668,0.7223292260881683,0.8347134368410964,0.8080003758015719,0.7540923902626031
random_robust_25_gene_panel,322,19,ZBBX;HHIP;CCDC80;GPX3;DUOX1;BTNL9;SLAMF7;CCDC60;ARMC4;WDR66;ADH7;ASPN;DNAH9;TMEM45A;DES;CLEC4E;MS4A15;DNAH10;CRTAC1,0.8719984211518522,0.625,0.8657796820568681,0.7363195057369815,0.8426682001150085,0.8430818532388173,0.8289055012459268
random_robust_25_gene_panel,323,19,SULF1;VIPR1;CCDC60;SFTA2;SPATA18;KRT15;CDH2;CLDN1;COL15A1;PTPRB;CCDC17;GPX8;TMEM45A;C20ORF85;MMP7;CRTAC1;FAM83D;ANKRD1;COL3A1,0.8876794924307068,0.7706192855123009,0.8499405833729404,0.6971477679193572,0.7237684493003641,0.6995985884520088,0.6764232317423807
random_robust_25_gene_panel,324,19,COL6A3;VIPR1;CWH43;C6ORF118;AFF3;C6;TEKT1;CAPSL;CXCL14;PIH1D2;PEBP4;CCDC146;MUC4;MYH11;HSPA4L;SLN;ENKUR;BPIFA1;SFRP4,0.7723556463975472,0.5263157894736843,0.764998636487592,0.54508291912482,0.47180371861222925,0.5455682206464029,0.4769982748706153
random_robust_25_gene_panel,325,19,ACVRL1;TP63;RSPH1;SFTA2;CD24;DNAH9;CACNA2D2;CCDC113;C12ORF75;SLAMF7;SLCO4A1;IL18RAP;MT1M;CHST9;FNDC1;BPIFB1;KLHL13;HHIP;SYTL2,0.9530695139677829,0.8754359506079743,0.9337492505381977,0.7603802782552144,0.8673375503162737,0.8561671462745701,0.7495112133410006
random_robust_25_gene_panel,326,19,DNAH5;ALOX15;CAPN13;CCDC17;FANK1;DNAH10;ANKRD1;SPAG6;CRTAC1;CFH;LRRN4;SLN;SCN1A;CLIC6;IL1RL1;PROM1;VSIG1;FMO5;SFRP4,0.8264308853952205,0.631578947368421,0.798584482336624,0.8097454649974452,0.6152769791067663,0.6199489856805855,0.6965497412305923
random_robust_25_gene_panel,327,19,COL3A1;DNAAF1;ZNF385D;WDR66;CCL13;C1ORF194;CDH3;TSPAN1;GRIA1;SULF1;RSPH4A;VCAM1;PEBP4;SCGB3A1;GEM;SFTA2;LRRC46;PIH1D2;CACNA2D2,0.7650788834951456,0.5,0.7623884630129726,0.5182038834951457,0.47638489553383173,0.5477802727509672,0.47345217557983515
random_robust_25_gene_panel,328,19,CLDN1;MUC4;STOML3;ABCA3;F2RL3;PDE7B;DCLK1;PROM1;ITGB8;SLAMF7;VCAM1;AGBL2;CP;SCN1A;C9ORF135;HSD17B6;CRISPLD1;TP63;CDH3,0.9476445218124135,0.8871241398812328,0.9413231422908888,0.6922330097087379,0.8677784167145869,0.8558565493316348,0.7547632739122101
random_robust_25_gene_panel,329,19,GEM;SLC44A4;ROPN1L;COMP;TP63;ITGB8;CD24;MORN5;TMPRSS4;CLDN1;RTKN2;FMO5;CLIC6;HSPA4L;IL18R1;IL1RL1;TRIM29;MME;AMPD1,0.8884965568599149,0.6842105263157895,0.8719184487911764,0.6455671946857435,0.8502971056162545,0.8276591674114725,0.7459842821544949
random_robust_25_gene_panel,330,19,SCN1A;IL1RL1;SLCO2A1;PDE7B;TGFB3;VSIG1;ADH7;C11ORF88;FAM81B;CD24;TNC;PIH1D2;LRRN4;GRASP;PTPRB;HHLA2;HMCN1;CYP24A1;HSD17B6,0.9488703732183698,0.8947368421052633,0.9254695349501104,0.7871219863427324,0.879815986198965,0.8653049548329861,0.7773816369561051
