series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL36,0.0148568409166667,0.02572478636,0.617674476906651,0.542620156230896,0.812704864847636,-6.13485953911729,GPL8227,hcmv-miR-UL36,,hcmv-miR-UL36,,hcmv-miR-UL36,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL36*,-0.0369095608397436,0.04054613928,-0.747909591395656,0.461797406748825,0.812704864847636,-6.04691287708633,GPL8227,hcmv-miR-UL36*,,hcmv-miR-UL36*,,hcmv-miR-UL36*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL70-3p,0.607870324782051,0.49788933472,2.12006276014797,0.044558094970626,0.381064541363375,-4.25346668469294,GPL8227,hcmv-miR-UL70-3p,,hcmv-miR-UL70-3p,,hcmv-miR-UL70-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL70-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,hcmv-miR-UL70-5p,,hcmv-miR-UL70-5p,,hcmv-miR-UL70-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US25-1,0.255153820038462,0.19227337192,1.09320049742425,0.285182138592181,0.812704864847636,-5.73784569780836,GPL8227,hcmv-miR-US25-1,,hcmv-miR-US25-1,,hcmv-miR-US25-1,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US25-1*,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,hcmv-miR-US25-1*,,hcmv-miR-US25-1*,,hcmv-miR-US25-1*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US25-2-3p,-0.0171965616730769,0.03108389968,-0.49950057864367,0.621985519287106,0.812704864847636,-6.20057499966732,GPL8227,hcmv-miR-US25-2-3p,,hcmv-miR-US25-2-3p,,hcmv-miR-US25-2-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US25-2-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,hcmv-miR-US25-2-5p,,hcmv-miR-US25-2-5p,,hcmv-miR-US25-2-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US33-3p,-0.448097386916667,0.21652504472,-2.00335947363927,0.0565812110412441,0.442328424984456,-4.45849140320755,GPL8227,hcmv-miR-US33-3p,,hcmv-miR-US33-3p,,hcmv-miR-US33-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-US33-5p,-0.0875684906538461,0.16754807936,-0.55305402048079,0.585353346852235,0.812704864847636,-6.17247184534073,GPL8227,hcmv-miR-US33-5p,,hcmv-miR-US33-5p,,hcmv-miR-US33-5p,GPL8227_platform_table,True,False
