stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,gene_set,score_label,combined_score
9606.ENSP00000288710,9606.ENSP00000480538,DRC1,DNAI1,9606,0.827,0.0,0.0,0.0,0.221,0.0,0.36,0.681,robust_mrna_strict,medium_confidence,0.827
9606.ENSP00000480538,9606.ENSP00000489675,DNAI1,DNAH10,9606,0.826,0.0,0.0,0.0,0.626,0.263,0.0,0.421,robust_mrna_strict,medium_confidence,0.826
9606.ENSP00000337946,9606.ENSP00000366402,PACRG,C9ORF135,9606,0.825,0.0,0.0,0.0,0.062,0.821,0.0,0.0,robust_mrna_strict,medium_confidence,0.825
9606.ENSP00000260453,9606.ENSP00000366402,MNS1,C9ORF135,9606,0.825,0.0,0.0,0.0,0.075,0.818,0.0,0.0,robust_mrna_strict,medium_confidence,0.825
9606.ENSP00000260453,9606.ENSP00000339449,MNS1,CFAP52,9606,0.824,0.0,0.0,0.0,0.073,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.824
9606.ENSP00000295550,9606.ENSP00000369071,COL6A3,POSTN,9606,0.819,0.0,0.0,0.0,0.482,0.076,0.0,0.653,robust_mrna_strict,medium_confidence,0.819
9606.ENSP00000238682,9606.ENSP00000384126,TGFB3,LRRC32,9606,0.819,0.0,0.0,0.0,0.127,0.0,0.0,0.802,robust_mrna_strict,medium_confidence,0.819
9606.ENSP00000335620,9606.ENSP00000423822,GSTA1,GPX8,9606,0.817,0.0,0.0,0.0,0.064,0.0,0.65,0.487,robust_mrna_strict,medium_confidence,0.817
9606.ENSP00000331044,9606.ENSP00000366402,ENKUR,C9ORF135,9606,0.817,0.0,0.0,0.0,0.126,0.8,0.0,0.0,robust_mrna_strict,medium_confidence,0.817
9606.ENSP00000304408,9606.ENSP00000364694,COL3A1,ASPN,9606,0.815,0.0,0.0,0.0,0.483,0.091,0.0,0.638,robust_mrna_strict,medium_confidence,0.815
9606.ENSP00000260302,9606.ENSP00000297848,MMP13,COL14A1,9606,0.814,0.0,0.0,0.0,0.087,0.05,0.75,0.246,robust_mrna_strict,medium_confidence,0.814
9606.ENSP00000222573,9606.ENSP00000238682,ITGB8,TGFB3,9606,0.809,0.0,0.0,0.0,0.055,0.0,0.5,0.628,robust_mrna_strict,medium_confidence,0.809
9606.ENSP00000225964,9606.ENSP00000284240,COL1A1,THY1,9606,0.807,0.0,0.0,0.0,0.337,0.0,0.0,0.721,robust_mrna_strict,medium_confidence,0.807
9606.ENSP00000288912,9606.ENSP00000349568,WDR66,CFAP43,9606,0.807,0.0,0.0,0.0,0.084,0.0,0.0,0.798,robust_mrna_strict,medium_confidence,0.807
9606.ENSP00000294664,9606.ENSP00000480538,WDR63,DNAI1,9606,0.805,0.0,0.0,0.0,0.068,0.0,0.54,0.583,robust_mrna_strict,medium_confidence,0.805
9606.ENSP00000252242,9606.ENSP00000343129,KRT5,TRIM29,9606,0.802,0.0,0.0,0.0,0.507,0.066,0.0,0.606,robust_mrna_strict,medium_confidence,0.802
9606.ENSP00000229554,9606.ENSP00000377197,RSPH4A,HYDIN,9606,0.802,0.0,0.0,0.0,0.186,0.045,0.0,0.765,robust_mrna_strict,medium_confidence,0.802
9606.ENSP00000335620,9606.ENSP00000420269,GSTA1,ADH7,9606,0.8,0.0,0.0,0.0,0.084,0.07,0.65,0.41,robust_mrna_strict,medium_confidence,0.8
9606.ENSP00000252242,9606.ENSP00000497653,KRT5,COL17A1,9606,0.799,0.0,0.0,0.0,0.435,0.095,0.0,0.638,robust_mrna_strict,medium_confidence,0.799
9606.ENSP00000262442,9606.ENSP00000312554,DNAH9,DNAH12,9606,0.795,0.0,0.126,0.0,0.21,0.0,0.36,0.59,robust_mrna_strict,medium_confidence,0.795
9606.ENSP00000286758,9606.ENSP00000479955,CXCL13,CCL18,9606,0.795,0.0,0.0,0.0,0.263,0.0,0.0,0.733,robust_mrna_strict,medium_confidence,0.795
9606.ENSP00000284240,9606.ENSP00000426809,THY1,PROM1,9606,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.791,robust_mrna_strict,medium_confidence,0.791
9606.ENSP00000304408,9606.ENSP00000364140,COL3A1,COL15A1,9606,0.791,0.0,0.0,0.117,0.334,0.0,0.4,0.478,robust_mrna_strict,medium_confidence,0.791
9606.ENSP00000229554,9606.ENSP00000306410,RSPH4A,ARMC4,9606,0.79,0.0,0.0,0.0,0.167,0.175,0.0,0.718,robust_mrna_strict,medium_confidence,0.79
9606.ENSP00000265104,9606.ENSP00000288710,DNAH5,DRC1,9606,0.789,0.0,0.0,0.0,0.088,0.0,0.36,0.668,robust_mrna_strict,medium_confidence,0.789
9606.ENSP00000262103,9606.ENSP00000478589,EFCAB1,TTC25,9606,0.789,0.0,0.0,0.0,0.08,0.507,0.0,0.573,robust_mrna_strict,medium_confidence,0.789
9606.ENSP00000297268,9606.ENSP00000297848,COL1A2,COL14A1,9606,0.788,0.0,0.0,0.149,0.215,0.0,0.4,0.534,robust_mrna_strict,medium_confidence,0.788
9606.ENSP00000229554,9606.ENSP00000358575,RSPH4A,CFAP206,9606,0.787,0.0,0.0,0.0,0.27,0.0,0.72,0.0,robust_mrna_strict,medium_confidence,0.787
9606.ENSP00000229554,9606.ENSP00000288710,RSPH4A,DRC1,9606,0.787,0.0,0.0,0.0,0.236,0.0,0.0,0.732,robust_mrna_strict,medium_confidence,0.787
9606.ENSP00000306410,9606.ENSP00000480538,ARMC4,DNAI1,9606,0.783,0.0,0.0,0.0,0.199,0.0,0.0,0.74,robust_mrna_strict,medium_confidence,0.783
9606.ENSP00000225964,9606.ENSP00000297848,COL1A1,COL14A1,9606,0.783,0.0,0.0,0.147,0.207,0.0,0.4,0.529,robust_mrna_strict,medium_confidence,0.783
9606.ENSP00000417498,9606.ENSP00000436812,MUC4,MUC5B,9606,0.783,0.0,0.0,0.0,0.257,0.091,0.5,0.433,robust_mrna_strict,medium_confidence,0.783
9606.ENSP00000297848,9606.ENSP00000364711,COL14A1,OGN,9606,0.782,0.0,0.0,0.0,0.415,0.431,0.0,0.399,robust_mrna_strict,medium_confidence,0.782
9606.ENSP00000262103,9606.ENSP00000298032,EFCAB1,ARMC3,9606,0.781,0.0,0.0,0.0,0.3,0.429,0.0,0.496,robust_mrna_strict,medium_confidence,0.781
9606.ENSP00000261383,9606.ENSP00000265104,DNAH3,DNAH5,9606,0.781,0.0,0.0,0.09,0.108,0.0,0.72,0.15,robust_mrna_strict,medium_confidence,0.781
9606.ENSP00000262103,9606.ENSP00000404232,EFCAB1,EFHC2,9606,0.78,0.0,0.0,0.0,0.202,0.507,0.0,0.487,robust_mrna_strict,medium_confidence,0.78
9606.ENSP00000297848,9606.ENSP00000364140,COL14A1,COL15A1,9606,0.779,0.0,0.0,0.0,0.232,0.0,0.4,0.558,robust_mrna_strict,medium_confidence,0.779
9606.ENSP00000298032,9606.ENSP00000341346,ARMC3,TEKT1,9606,0.776,0.0,0.0,0.0,0.443,0.189,0.0,0.545,robust_mrna_strict,medium_confidence,0.776
9606.ENSP00000288710,9606.ENSP00000291536,DRC1,RSPH1,9606,0.772,0.0,0.0,0.0,0.125,0.0,0.0,0.75,robust_mrna_strict,medium_confidence,0.772
9606.ENSP00000271651,9606.ENSP00000378517,CTSK,SPP1,9606,0.772,0.0,0.0,0.0,0.106,0.0,0.0,0.756,robust_mrna_strict,medium_confidence,0.772
9606.ENSP00000341442,9606.ENSP00000360210,SNTN,C20ORF85,9606,0.771,0.0,0.0,0.0,0.771,0.0,0.0,0.0,robust_mrna_strict,medium_confidence,0.771
9606.ENSP00000225964,9606.ENSP00000322788,COL1A1,MMP1,9606,0.767,0.0,0.0,0.0,0.139,0.05,0.0,0.738,robust_mrna_strict,medium_confidence,0.767
9606.ENSP00000260302,9606.ENSP00000271651,MMP13,CTSK,9606,0.765,0.0,0.0,0.0,0.117,0.0,0.4,0.592,robust_mrna_strict,medium_confidence,0.765
9606.ENSP00000181383,9606.ENSP00000215727,CPB2,SERPIND1,9606,0.764,0.0,0.0,0.0,0.511,0.0,0.0,0.537,robust_mrna_strict,medium_confidence,0.764
9606.ENSP00000311273,9606.ENSP00000379310,DNAH7,CASC1,9606,0.762,0.0,0.0,0.0,0.162,0.0,0.72,0.07,robust_mrna_strict,medium_confidence,0.762
9606.ENSP00000265104,9606.ENSP00000379310,DNAH5,CASC1,9606,0.761,0.0,0.0,0.0,0.108,0.0,0.72,0.121,robust_mrna_strict,medium_confidence,0.761
9606.ENSP00000377197,9606.ENSP00000480538,HYDIN,DNAI1,9606,0.76,0.0,0.0,0.0,0.25,0.109,0.0,0.67,robust_mrna_strict,medium_confidence,0.76
9606.ENSP00000265104,9606.ENSP00000291536,DNAH5,RSPH1,9606,0.759,0.0,0.0,0.0,0.126,0.0,0.0,0.735,robust_mrna_strict,medium_confidence,0.759
9606.ENSP00000341346,9606.ENSP00000478589,TEKT1,TTC25,9606,0.759,0.0,0.0,0.0,0.211,0.507,0.0,0.43,robust_mrna_strict,medium_confidence,0.759
9606.ENSP00000265104,9606.ENSP00000377197,DNAH5,HYDIN,9606,0.759,0.0,0.0,0.0,0.164,0.071,0.0,0.715,robust_mrna_strict,medium_confidence,0.759
9606.ENSP00000253354,9606.ENSP00000436812,BPIFB1,MUC5B,9606,0.755,0.0,0.0,0.0,0.438,0.0,0.0,0.581,robust_mrna_strict,medium_confidence,0.755
9606.ENSP00000341442,9606.ENSP00000380524,SNTN,CAPSL,9606,0.752,0.0,0.0,0.0,0.631,0.0,0.0,0.356,robust_mrna_strict,medium_confidence,0.752
9606.ENSP00000304845,9606.ENSP00000335620,UGT1A1,GSTA1,9606,0.752,0.0,0.0,0.0,0.098,0.0,0.0,0.736,robust_mrna_strict,medium_confidence,0.752
9606.ENSP00000311343,9606.ENSP00000390232,WDR49,ZBBX,9606,0.751,0.0,0.032,0.0,0.156,0.0,0.0,0.718,robust_mrna_strict,medium_confidence,0.751
9606.ENSP00000261383,9606.ENSP00000379310,DNAH3,CASC1,9606,0.75,0.0,0.0,0.0,0.084,0.0,0.72,0.106,robust_mrna_strict,medium_confidence,0.75
9606.ENSP00000262442,9606.ENSP00000367815,DNAH9,DNAAF1,9606,0.75,0.0,0.0,0.0,0.115,0.093,0.0,0.713,robust_mrna_strict,medium_confidence,0.75
9606.ENSP00000252242,9606.ENSP00000377546,KRT5,KRT15,9606,0.749,0.0,0.0,0.089,0.634,0.162,0.0,0.209,robust_mrna_strict,medium_confidence,0.749
9606.ENSP00000270879,9606.ENSP00000356399,FCN3,CFH,9606,0.749,0.0,0.0,0.0,0.08,0.0,0.54,0.455,robust_mrna_strict,medium_confidence,0.749
9606.ENSP00000260128,9606.ENSP00000304408,SULF1,COL3A1,9606,0.748,0.0,0.0,0.0,0.443,0.0,0.0,0.566,robust_mrna_strict,medium_confidence,0.748
9606.ENSP00000229554,9606.ENSP00000267584,RSPH4A,AK7,9606,0.748,0.0,0.0,0.234,0.564,0.0,0.0,0.304,robust_mrna_strict,medium_confidence,0.748
9606.ENSP00000225964,9606.ENSP00000378517,COL1A1,SPP1,9606,0.747,0.0,0.0,0.0,0.061,0.0,0.0,0.742,robust_mrna_strict,medium_confidence,0.747
9606.ENSP00000288710,9606.ENSP00000306410,DRC1,ARMC4,9606,0.747,0.0,0.0,0.0,0.138,0.0,0.0,0.718,robust_mrna_strict,medium_confidence,0.747
9606.ENSP00000294728,9606.ENSP00000378517,VCAM1,SPP1,9606,0.746,0.0,0.0,0.0,0.067,0.0,0.0,0.739,robust_mrna_strict,medium_confidence,0.746
9606.ENSP00000341346,9606.ENSP00000362869,TEKT1,MORN5,9606,0.745,0.0,0.0,0.0,0.646,0.0,0.0,0.309,robust_mrna_strict,medium_confidence,0.745
9606.ENSP00000284240,9606.ENSP00000297268,THY1,COL1A2,9606,0.734,0.0,0.0,0.0,0.342,0.0,0.0,0.612,robust_mrna_strict,medium_confidence,0.734
9606.ENSP00000323588,9606.ENSP00000481841,SOX2,CD24,9606,0.734,0.0,0.0,0.0,0.088,0.0,0.0,0.72,robust_mrna_strict,medium_confidence,0.734
9606.ENSP00000333845,9606.ENSP00000360210,C11ORF88,C20ORF85,9606,0.732,0.0,0.0,0.0,0.625,0.0,0.0,0.316,robust_mrna_strict,medium_confidence,0.732
9606.ENSP00000222573,9606.ENSP00000378517,ITGB8,SPP1,9606,0.732,0.0,0.0,0.0,0.062,0.0,0.65,0.25,robust_mrna_strict,medium_confidence,0.732
9606.ENSP00000478589,9606.ENSP00000480538,TTC25,DNAI1,9606,0.729,0.0,0.0,0.0,0.103,0.046,0.0,0.709,robust_mrna_strict,medium_confidence,0.729
9606.ENSP00000284240,9606.ENSP00000294728,THY1,VCAM1,9606,0.727,0.0,0.0,0.0,0.081,0.0,0.0,0.716,robust_mrna_strict,medium_confidence,0.727
9606.ENSP00000333845,9606.ENSP00000341346,C11ORF88,TEKT1,9606,0.727,0.0,0.0,0.0,0.66,0.0,0.0,0.231,robust_mrna_strict,medium_confidence,0.727
