series_id,group,broad_celltype,fine_celltype,gene_symbol,cells,mean_norm_count_per_10k,log1p_mean_norm,detected_cells,detection_fraction
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,LRP6,222,0.6833384550360172,0.5207789972101838,42,0.1891891891891892
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,POSTN,222,0.04296745874016091,0.042069975858052465,3,0.013513513513513514
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,PTGFRN,222,0.0070284045943275145,0.007003820482928521,1,0.0045045045045045045
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,SPP1,222,0.5863069854760332,0.4614086640511671,43,0.19369369369369369
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TCF7L2,222,2.075685806884329,1.1235279030207899,80,0.36036036036036034
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TGFB1,222,2.673002875453118,1.3010095496994938,111,0.5
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TGFBR1,222,0.3299962052471362,0.2851760890319501,28,0.12612612612612611
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TGFBR2,222,0.8349327387556205,0.6070078262056466,54,0.24324324324324326
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TNF,222,0.015693166272304916,0.015571301844105876,2,0.009009009009009009
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TNFRSF12A,222,0.11198287397598919,0.10614479460906331,12,0.05405405405405406
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TNFRSF1A,222,3.0948749211058337,1.4097361725420465,131,0.5900900900900901
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TNFSF12,222,0.11552715425845288,0.10932707727319739,11,0.04954954954954955
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,TNIK,222,0.3328948935487781,0.2873531885369782,22,0.0990990990990991
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,WNT5A,222,0.0,0.0,0,0.0
GSE136831,IPF,Myeloid,Monocyte_MT-tRNAs,WNT7B,222,0.0,0.0,0,0.0
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CCL2,214,0.09133362895155088,0.0874004611588214,13,0.06074766355140187
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CCR2,214,0.0,0.0,0,0.0
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CD24,214,5.234254934518372,1.8300590747211225,187,0.8738317757009346
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CD44,214,0.21525726028216535,0.1949557912371763,28,0.1308411214953271
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CD74,214,5.254211237842516,1.833255034903121,185,0.8644859813084113
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CDH3,214,0.18764634379037454,0.17197348620972408,26,0.12149532710280374
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,COL14A1,214,0.11055231440711792,0.1048574721190449,19,0.08878504672897196
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,COL1A1,214,0.08371200748094379,0.08039219196381196,16,0.07476635514018691
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,COL3A1,214,0.03147356247815485,0.030988423029266365,8,0.037383177570093455
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CTNNB1,214,3.5432555305552516,1.5136438322910446,195,0.9112149532710281
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CXCL12,214,0.021689870285831848,0.021457991998049618,6,0.028037383177570093
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,CXCR4,214,0.12581207933344324,0.11850462354560473,23,0.10747663551401869
GSE136831,IPF,Epithelial,Ciliated_MT-tRNAs,FZD1,214,0.02661268982838603,0.026264732092786795,7,0.03271028037383177
