module,module_size,trait,pearson_r,p_value,fdr
M05,1,epithelial_ciliary,0.10707732247955064,0.1658503654739381,0.27641727578989683
M05,1,endothelial,-0.08438439246251828,0.2753598886652523,0.40052347442218517
M05,1,wnt_tnik_axis,0.02463771980606413,0.7505141252371402,0.8208333887508843
M06,88,IPF_status,0.21795191743006256,0.004418187849380459,0.011401775095175377
M06,88,macrophage_myeloid,-0.4262079381790586,7.580235938408734e-09,4.331563393376419e-08
M06,88,t_cell,0.009498818743795294,0.9024468711064729,0.9499440748489189
M06,88,b_cell,-0.04292361997877184,0.5794959309132531,0.6959057410805086
M06,88,fibroblast_matrix,0.2784649518296043,0.0002464140882658781,0.0008213802942195936
M06,88,epithelial_ciliary,-0.08297509430261918,0.2834859850433611,0.404979978633373
M06,88,endothelial,0.06385012223852309,0.4095231149704216,0.5370794950431759
M06,88,wnt_tnik_axis,0.33583978721442587,8.049689726436184e-06,3.3893430427099726e-05
M07,2,IPF_status,0.15122723695598347,0.04968499206273263,0.09694632597606367
M07,2,macrophage_myeloid,-0.20415502157745014,0.007758130224187493,0.01880758842227271
M07,2,t_cell,-0.07825148371163225,0.31188675296081053,0.43018862477353176
M07,2,b_cell,-0.006207549166603066,0.936157732154111,0.960161776568319
M07,2,fibroblast_matrix,0.14097508406566192,0.06751719160962928,0.12860417449453196
M07,2,epithelial_ciliary,0.12394305502517153,0.10838422257654262,0.18849430013311758
M07,2,endothelial,-0.03660634148846508,0.6365635307485128,0.7088865821440913
M07,2,wnt_tnik_axis,0.26866820624096033,0.00041253922952292905,0.001320125534473373
M08,1,IPF_status,0.06761772198019536,0.38238694949229707,0.5098492659897295
M08,1,macrophage_myeloid,-0.00013629959338813286,0.9985967259378409,0.9985967259378409
M08,1,t_cell,0.0011042501298929649,0.9886315552449106,0.9985967259378409
M08,1,b_cell,0.056567073023871865,0.4650849819941602,0.5905841041195685
M08,1,fibroblast_matrix,0.08800298127310754,0.2552220016033123,0.38524075713707523
M08,1,epithelial_ciliary,0.036450794945924465,0.6379979239296821,0.7088865821440913
M08,1,endothelial,-0.09711915160084149,0.2090614668614344,0.32793955586107354
M08,1,wnt_tnik_axis,-0.054680098982241465,0.48012961952658506,0.5909287624942585
M09,496,IPF_status,0.7363132111248889,3.8953626668448494e-30,7.790725333689699e-29
M09,496,macrophage_myeloid,-0.5188206386976109,4.973018098740785e-13,3.978414478992628e-12
M09,496,t_cell,-0.18065802810078394,0.018748311961028132,0.040536890726547314
M09,496,b_cell,0.5743959169913986,3.211041539732697e-16,2.854259146429064e-15
M09,496,fibroblast_matrix,0.5871988490091714,4.824739600590192e-17,4.824739600590192e-16
M09,496,epithelial_ciliary,0.6924012657832205,1.877434248103568e-25,2.5032456641380905e-24
M09,496,endothelial,-0.7312213059513815,1.5155992582391335e-29,2.4249588131826137e-28
M09,496,wnt_tnik_axis,-0.17155024810830824,0.025736753443985953,0.054182638829444116
M10,55,IPF_status,0.37552808377829083,4.879329968417952e-07,2.439664984208976e-06
M10,55,macrophage_myeloid,0.3553407166165012,2.1288441181019197e-06,9.46152941378631e-06
M10,55,t_cell,0.831089116138741,2.064405252306426e-44,8.257621009225704e-43
M10,55,b_cell,0.20225286213113117,0.008362207931860419,0.01967578336908334
M10,55,fibroblast_matrix,0.3584859532756708,1.7033868708234855e-06,8.015938215639931e-06
M10,55,epithelial_ciliary,-0.07108828729442229,0.3583824982286676,0.4859423704795493
M10,55,endothelial,-0.1242098457126922,0.10762049502931269,0.18849430013311758
M10,55,wnt_tnik_axis,0.03914891044637647,0.6133113132912045,0.7080481902477302
