sample_id,group,label,series_id,macrophage_myeloid_score,macrophage_myeloid_markers_found,t_cell_score,t_cell_markers_found,b_cell_score,b_cell_markers_found,fibroblast_matrix_score,fibroblast_matrix_markers_found,epithelial_ciliary_score,epithelial_ciliary_markers_found,endothelial_score,endothelial_markers_found,wnt_tnik_axis_score,wnt_tnik_axis_markers_found
GSM806242,IPF,1,GSE32537,-1.1104493354908536,11,-0.6839125095854551,7,1.6327507410345317,4,0.42170706518962325,10,0.6629465681249741,10,-0.9071435456787803,6,-0.10418771705078467,9
GSM806243,IPF,1,GSE32537,-0.4749787233269236,11,0.8302260457830457,7,1.0051063804315525,4,0.8800724138477719,10,-0.31513205461670885,10,-0.05044937788338406,6,0.24478644230012192,9
GSM806247,IPF,1,GSE32537,-0.47743886358918003,11,-0.462261418048854,7,-0.048844828512704414,4,0.9328574043962942,10,0.4817898269663317,10,-0.26174338334003755,6,0.24318582630090166,9
GSM806250,IPF,1,GSE32537,-0.2684231636462569,11,-0.5014238677066848,7,0.20082142468376254,4,0.8522281189616058,10,0.5012567691782792,10,0.06588626413453762,6,0.030260334351907434,9
GSM806251,IPF,1,GSE32537,0.8457506335092169,11,1.0215305067538931,7,0.7403042299647865,4,-0.4697010958067043,10,0.16524106837715474,10,-0.5711588117415364,6,-0.4361780136911114,9
GSM806252,IPF,1,GSE32537,0.07650231920478287,11,0.38549665164813246,7,2.680010595734379,4,0.6864666469296756,10,0.6945527537636756,10,-0.622614918862514,6,-0.5700541163783489,9
GSM806253,IPF,1,GSE32537,-0.6178598211169846,11,-0.8217979914862489,7,0.15753577424881615,4,0.2210529528716104,10,1.5150421569568304,10,-1.0492046349111168,6,-0.5902313098285693,9
GSM806254,IPF,1,GSE32537,0.017985972205006476,11,1.174772408121166,7,-0.1583755344976894,4,0.6159330737070277,10,0.08764650987631259,10,0.6905335006670063,6,0.04542213152797045,9
GSM806255,IPF,1,GSE32537,-1.0143276646355401,11,-0.5513536835785854,7,-0.28031082098493054,4,1.127483803427993,10,-0.45211207810910226,10,0.3015634209842975,6,0.22152538778738368,9
GSM806257,IPF,1,GSE32537,0.46654075059421024,11,0.16056025343241312,7,-0.5149336608035929,4,0.6664264333353532,10,0.3938531445897373,10,-0.0877575832086417,6,0.06862194349112245,9
GSM806258,IPF,1,GSE32537,-0.030153900947475217,11,-0.19970193689759178,7,0.79009870745096,4,0.8688474074362507,10,0.5607270282486484,10,-0.34567373783503846,6,0.00955797267466012,9
GSM806259,IPF,1,GSE32537,-2.2689101752442413,11,-1.484828110626458,7,-0.5149764686574733,4,-0.6514339339990531,10,0.8741994041430194,10,0.23101463095738853,6,0.7095311579249366,9
GSM806260,IPF,1,GSE32537,-0.04103493971495493,11,-0.0330915588389704,7,0.6567983593060284,4,-0.18841903871641738,10,1.10802977863825,10,-0.8078739467451119,6,-0.08937486779942588,9
GSM806261,IPF,1,GSE32537,1.3739688810745971,11,-0.652876657594671,7,0.7330207903957894,4,0.6339041108836379,10,1.285327288651747,10,-1.2353430195856236,6,0.10558844925451487,9
GSM806262,IPF,1,GSE32537,-0.1406277414876001,11,-0.17567208484777397,7,0.5083447064215826,4,0.15510671890362043,10,0.3049766715066514,10,-0.7936968130835119,6,0.3198668252305174,9
GSM806263,IPF,1,GSE32537,-0.14631070510263766,11,0.32548711203510045,7,-0.5286490991210993,4,0.8142157023069089,10,0.2438445631157486,10,0.9383451931077048,6,0.5579634948024103,9
GSM806264,IPF,1,GSE32537,0.08311243956223503,11,-0.6840831348235774,7,0.08817511094964364,4,0.9488520343472281,10,0.7881136352579736,10,-0.5348040327671807,6,0.09847162716816411,9
GSM806267,IPF,1,GSE32537,-0.7676889736578048,11,-0.9198919460842403,7,-1.1281153137889892,4,0.3737443854666751,10,0.46023759538919196,10,0.20155787913676104,6,1.0199922854996712,9
GSM806268,IPF,1,GSE32537,-1.195756746422988,11,0.5434522371306058,7,0.46924951057284053,4,1.0448734613960748,10,0.5247698477126604,10,0.1363733015935208,6,0.3993263420586579,9
GSM806269,IPF,1,GSE32537,-1.423797577727291,11,-1.4260235521880145,7,-0.5704726352250568,4,0.4067672670945351,10,1.6093192845956903,10,-0.8636486531173709,6,0.5428079336764324,9
GSM806273,IPF,1,GSE32537,-0.7282249408457001,11,-1.2900032347085977,7,-0.5138027568740247,4,-1.3592747317426495,10,1.283331341412539,10,-1.711564587779207,6,0.09900031737135813,9
GSM806274,IPF,1,GSE32537,0.9981331154539324,11,1.839740337206635,7,-0.24913350822025448,4,-0.3587819788194767,10,-0.8068856784325934,10,-0.0057420543937785435,6,-0.07290799156683331,9
GSM806275,IPF,1,GSE32537,-0.12728608683124393,11,-0.16352601162937977,7,1.111507895685226,4,0.7629024759805757,10,0.07540698566294834,10,-0.28019911270541137,6,-0.0885668764630276,9
GSM806276,IPF,1,GSE32537,-0.16300553551585828,11,-0.43197169218640924,7,0.3294028615531297,4,0.7529605593937174,10,0.3513287202715544,10,-0.03433429853241992,6,0.1391658613335641,9
GSM806277,IPF,1,GSE32537,-0.4532335663479285,11,-0.24356846077245145,7,1.448424662525271,4,0.018288065081482913,10,1.0573226099237447,10,-0.7041614350078444,6,-0.16204737898172586,9
GSM806278,IPF,1,GSE32537,0.8306417351575989,11,-0.5228150246762617,7,-0.7854143616295222,4,-0.21457038848822374,10,0.3274375845730134,10,-0.3779385362257262,6,0.20092434124311012,9
GSM806279,IPF,1,GSE32537,0.4463819937772564,11,1.2584804912079746,7,0.25138440535653067,4,0.13131750481455162,10,-0.30864774932598005,10,0.09197605555090173,6,0.23398460101018037,9
GSM806281,IPF,1,GSE32537,0.11924993898390622,11,-0.45237489321530017,7,0.9727619688149507,4,0.5734139597827281,10,1.220726745986058,10,-0.5226177723867002,6,0.3764805881344892,9
GSM806284,IPF,1,GSE32537,0.23347686613966961,11,-0.8087212674723492,7,-0.008858835264134763,4,0.47275369766204267,10,0.3619740598982889,10,-1.2314679696226947,6,-0.6907250689735821,9
GSM806285,IPF,1,GSE32537,-1.9121075230217954,11,-0.3974662077134563,7,-0.17458067423887658,4,0.7494734483359878,10,1.640911527042885,10,-1.2167467381061636,6,-0.4299213056808293,9
GSM806286,IPF,1,GSE32537,1.1364791591778778,11,-0.04948543124014498,7,-0.15407106332932408,4,-0.4335288222226703,10,0.4609955811129173,10,-0.21499301630489556,6,-0.1364648342601497,9
GSM806287,IPF,1,GSE32537,0.22180051003901163,11,-1.0333322188883731,7,0.978062949531993,4,0.10831653114811216,10,1.1324253139728204,10,-0.8226587315036213,6,-0.7436708954300741,9
GSM806290,IPF,1,GSE32537,1.274734955158225,11,2.2806781967246357,7,-0.09087020976110238,4,0.9478106430087312,10,-0.8368466498613947,10,-0.5195770877497783,6,-0.909109576654687,9
GSM806291,IPF,1,GSE32537,0.29645567913837384,11,-0.2404952225464633,7,-0.31211470648545875,4,0.8024897246569906,10,0.346724019845283,10,-0.06949789227381808,6,0.4655959405698192,9
GSM806292,IPF,1,GSE32537,1.2177364258905063,11,0.4624849750696149,7,-0.8096045507277947,4,1.002818326370488,10,-0.4008932102640223,10,0.3545579373006438,6,0.08702736558383956,9
GSM806293,IPF,1,GSE32537,0.8005757487885634,11,1.1220545701788303,7,-0.7774791482753085,4,-1.0781448461682879,10,-0.6698464163365917,10,0.1488344337744668,6,0.1793559389778584,9
GSM806294,IPF,1,GSE32537,0.5069320781137957,11,1.2776108820790368,7,-0.7855111058311004,4,0.10962856237574618,10,0.424123977092515,10,0.24995353689700484,6,0.6085210542429241,9
GSM806297,IPF,1,GSE32537,-0.3927417770908603,11,-0.7049770261018429,7,0.8102512827316934,4,0.44568109227787006,10,1.100079541903908,10,-0.7384712285043546,6,-0.33587987370798383,9
GSM806298,IPF,1,GSE32537,-0.9472054635744023,11,0.058175781440375655,7,0.2688037314369579,4,0.13135827170170633,10,0.9223480322318558,10,-0.8618185839149416,6,-0.19074442314373488,9
GSM806299,IPF,1,GSE32537,1.13632510074143,11,-0.13334238481850297,7,0.786670999282363,4,-0.009434210387409585,10,1.1807376992760585,10,-1.3726094733903755,6,-0.9398554426980493,9
GSM806300,IPF,1,GSE32537,0.6900380507393457,11,1.041621966255494,7,1.2356280526182093,4,0.40359469549622995,10,0.23526100393386762,10,-0.3465252180488536,6,0.17003939320631145,9
GSM806301,IPF,1,GSE32537,-0.37173514727107543,11,0.5149573358727026,7,1.9267558225348373,4,1.2076518376826602,10,-0.4401025222549014,10,-0.23664095657101514,6,-0.8137268730686358,9
GSM806302,IPF,1,GSE32537,0.17329928868923972,11,-0.021729837396416492,7,1.6595412840206736,4,-0.05565793115983817,10,0.552572614828239,10,-0.6603522694998508,6,-0.45420456103775997,9
GSM806305,IPF,1,GSE32537,-0.6756514891152063,11,0.05346886402899319,7,-0.9221170056743584,4,0.12042017680579749,10,0.6604661451873896,10,-0.2859891305248344,6,0.259128595290687,9
GSM806306,IPF,1,GSE32537,-0.5417366400466692,11,0.5579321733248859,7,0.5761721093228386,4,0.4575854941682066,10,-0.19647570411702495,10,0.18980060138983745,6,-0.23659666999520215,9
GSM806307,IPF,1,GSE32537,-0.05864711469679795,11,-0.009047684785596014,7,0.1088600455404245,4,0.5414082690949249,10,0.1648021185420243,10,0.6578602741048976,6,0.3975773833103437,9
GSM806308,IPF,1,GSE32537,0.21752918062554236,11,0.5973500356828984,7,2.1065646916469998,4,0.28284414919141426,10,0.20389064530517215,10,-1.3762488030055733,6,-0.26519362559249643,9
GSM806309,IPF,1,GSE32537,0.7344116766939476,11,0.9149563012453357,7,0.31905138219446083,4,0.4263189699386511,10,-0.13499903193726376,10,0.13561489774560048,6,-0.04751588225780923,9
