series_id,donor_id,group,broad_celltype,gene_symbol,cells,library_sum,raw_count_sum,norm_count_per_10k,log1p_norm_count_per_10k
GSE135893,TILD010,IPF,Endothelial,GPX3,92,442349.0,80.0,1.8085267515016425,1.0326600581369543
GSE135893,TILD010,IPF,Endothelial,POSTN,92,442349.0,345.0,7.799271615850833,2.174668947132417
GSE135893,TILD010,IPF,Endothelial,PTGFRN,92,442349.0,2.0,0.04521316878754106,0.04422085388416634
GSE135893,TILD010,IPF,Endothelial,SPP1,92,442349.0,38.0,0.8590502069632802,0.6200657158857888
GSE135893,TILD010,IPF,Epithelial,CD24,557,3275978.0,971.0,2.9640003687448453,1.3772537094911594
GSE135893,TILD010,IPF,Epithelial,COL14A1,557,3275978.0,14.0,0.04273532972443649,0.041847385162995916
GSE135893,TILD010,IPF,Epithelial,COL1A1,557,3275978.0,55.0,0.1678887953460005,0.15519767040928595
GSE135893,TILD010,IPF,Epithelial,COL3A1,557,3275978.0,7.0,0.021367664862218246,0.02114257706651514
GSE135893,TILD010,IPF,Epithelial,GPX3,557,3275978.0,64.0,0.19536150731170968,0.17844865621339662
GSE135893,TILD010,IPF,Epithelial,POSTN,557,3275978.0,12.0,0.03663028262094556,0.035975339756900405
GSE135893,TILD010,IPF,Epithelial,PTGFRN,557,3275978.0,72.0,0.21978169572567338,0.19867190480408786
GSE135893,TILD010,IPF,Epithelial,SPP1,557,3275978.0,13.0,0.03968280617269102,0.03891567256841221
GSE135893,TILD010,IPF,Immune,CD24,834,5699155.0,18.0,0.03158362950297018,0.03109512586363041
GSE135893,TILD010,IPF,Immune,COL14A1,834,5699155.0,4.0,0.0070185843339933725,0.006994068714088763
GSE135893,TILD010,IPF,Immune,COL1A1,834,5699155.0,8.0,0.014037168667986745,0.013939559988306512
GSE135893,TILD010,IPF,Immune,COL3A1,834,5699155.0,7.0,0.012282522584488403,0.012207704418195162
GSE135893,TILD010,IPF,Immune,GPX3,834,5699155.0,215.0,0.3772489079521438,0.3200879644512558
GSE135893,TILD010,IPF,Immune,POSTN,834,5699155.0,3.0,0.005263938250495029,0.0052501321559683765
GSE135893,TILD010,IPF,Immune,PTGFRN,834,5699155.0,24.0,0.042111506003960235,0.04124894912596629
GSE135893,TILD010,IPF,Immune,SPP1,834,5699155.0,7325.0,12.852782561625364,2.628486119430804
GSE135893,TILD010,IPF,Mesenchymal,CD24,101,450340.0,16.0,0.3552871164009415,0.3040133259081316
GSE135893,TILD010,IPF,Mesenchymal,COL14A1,101,450340.0,275.0,6.106497313141182,1.9610094801121725
GSE135893,TILD010,IPF,Mesenchymal,COL1A1,101,450340.0,2525.0,56.06874805702358,4.0442566473362715
GSE135893,TILD010,IPF,Mesenchymal,COL3A1,101,450340.0,1852.0,41.12448372340898,3.7406291327733032
GSE135893,TILD010,IPF,Mesenchymal,GPX3,101,450340.0,207.0,4.59652706843718,1.7221462390079052
GSE135893,TILD010,IPF,Mesenchymal,POSTN,101,450340.0,370.0,8.216014566771772,2.2209426845481817
GSE135893,TILD010,IPF,Mesenchymal,PTGFRN,101,450340.0,10.0,0.22205444775058844,0.20053341601751354
GSE135893,TILD010,IPF,Mesenchymal,SPP1,101,450340.0,1.0,0.022205444775058845,0.02196249386403395
GSE135893,TILD015,IPF,Endothelial,CD24,494,3612217.0,17.0,0.04706251036413372,0.045988634369909215
GSE135893,TILD015,IPF,Endothelial,COL14A1,494,3612217.0,2.0,0.005536765925192201,0.005521494380782407
GSE135893,TILD015,IPF,Endothelial,COL1A1,494,3612217.0,5.0,0.013841914812980504,0.013746990463624143
GSE135893,TILD015,IPF,Endothelial,COL3A1,494,3612217.0,50.0,0.13841914812980505,0.12964058786445518
GSE135893,TILD015,IPF,Endothelial,GPX3,494,3612217.0,357.0,0.9883127176468081,0.6872863985028589
GSE135893,TILD015,IPF,Endothelial,POSTN,494,3612217.0,5892.0,16.31131241561623,2.8513601846627656
GSE135893,TILD015,IPF,Endothelial,PTGFRN,494,3612217.0,21.0,0.058136042214518124,0.056508909493593225
GSE135893,TILD015,IPF,Endothelial,SPP1,494,3612217.0,864.0,2.391882879683031,1.221385188938205
GSE135893,TILD015,IPF,Epithelial,CD24,485,4425728.0,1139.0,2.573587893336418,1.2735701032440163
GSE135893,TILD015,IPF,Epithelial,COL14A1,485,4425728.0,3.0,0.006778545812124017,0.006755674767237966
GSE135893,TILD015,IPF,Epithelial,COL1A1,485,4425728.0,221.0,0.49935287482646923,0.40503359823881663
GSE135893,TILD015,IPF,Epithelial,COL3A1,485,4425728.0,40.0,0.09038061082832022,0.08652681953658703
GSE135893,TILD015,IPF,Epithelial,GPX3,485,4425728.0,79.0,0.17850170638593246,0.16424389132336323
GSE135893,TILD015,IPF,Epithelial,POSTN,485,4425728.0,24.0,0.054228366496992135,0.05280909315605825
GSE135893,TILD015,IPF,Epithelial,PTGFRN,485,4425728.0,89.0,0.2010968590930125,0.1832351885495054
GSE135893,TILD015,IPF,Epithelial,SPP1,485,4425728.0,80.0,0.18076122165664044,0.16615933358686216
GSE135893,TILD015,IPF,Immune,CD24,5238,42184085.0,198.0,0.04693713280731347,0.045868885011423
GSE135893,TILD015,IPF,Immune,COL14A1,5238,42184085.0,18.0,0.004267012073392133,0.004257934191833402
GSE135893,TILD015,IPF,Immune,COL1A1,5238,42184085.0,42.0,0.009956361504581644,0.009907123488636068
GSE135893,TILD015,IPF,Immune,COL3A1,5238,42184085.0,52.0,0.012326923767577274,0.012251565897924985
GSE135893,TILD015,IPF,Immune,GPX3,5238,42184085.0,659.0,0.156220053131412,0.14515610951463276
GSE135893,TILD015,IPF,Immune,POSTN,5238,42184085.0,86.0,0.020386835461762415,0.020181805851612496
GSE135893,TILD015,IPF,Immune,PTGFRN,5238,42184085.0,125.0,0.02963202828744537,0.029201484321240267
GSE135893,TILD015,IPF,Immune,SPP1,5238,42184085.0,59006.0,13.987739689032013,2.7072325128217165
GSE135893,TILD015,IPF,Mesenchymal,CD24,185,1718082.0,42.0,0.24445864632770728,0.2187006131273324
GSE135893,TILD015,IPF,Mesenchymal,COL14A1,185,1718082.0,1237.0,7.199889178746998,2.1041206393919305
GSE135893,TILD015,IPF,Mesenchymal,COL1A1,185,1718082.0,9913.0,57.69806097729911,4.0724066935337575
GSE135893,TILD015,IPF,Mesenchymal,COL3A1,185,1718082.0,8372.0,48.728756834656316,3.9065833741165035
GSE135893,TILD015,IPF,Mesenchymal,GPX3,185,1718082.0,441.0,2.5668157864409262,1.2716732612082697
GSE135893,TILD015,IPF,Mesenchymal,POSTN,185,1718082.0,2241.0,13.04361491477124,2.6421678380193474
GSE135893,TILD015,IPF,Mesenchymal,PTGFRN,185,1718082.0,123.0,0.7159146071025714,0.539946237066824
GSE135893,TILD015,IPF,Mesenchymal,SPP1,185,1718082.0,27.0,0.1571519869249547,0.14596180252710042
GSE135893,TILD028,IPF,Endothelial,CD24,420,2177973.0,7.0,0.03213997602357788,0.0316342935434451
GSE135893,TILD028,IPF,Endothelial,COL14A1,420,2177973.0,1.0,0.0045914251462254125,0.00458091670731862
GSE135893,TILD028,IPF,Endothelial,COL1A1,420,2177973.0,3.0,0.013774275438676237,0.013680272339499316
GSE135893,TILD028,IPF,Endothelial,COL3A1,420,2177973.0,2.0,0.009182850292450825,0.009140944271818267
GSE135893,TILD028,IPF,Endothelial,GPX3,420,2177973.0,847.0,3.8889370988529244,1.5869749176624284
GSE135893,TILD028,IPF,Endothelial,POSTN,420,2177973.0,4463.0,20.49153042760402,3.0676589239215803
GSE135893,TILD028,IPF,Endothelial,PTGFRN,420,2177973.0,22.0,0.10101135321695906,0.09622916941940193
GSE135893,TILD028,IPF,Endothelial,SPP1,420,2177973.0,103.0,0.47291679006121745,0.3872446457702824
GSE135893,TILD028,IPF,Epithelial,CD24,791,4267125.0,1432.0,3.3558895040571817,1.4715288383709244
GSE135893,TILD028,IPF,Epithelial,COL14A1,791,4267125.0,9.0,0.021091484313208543,0.020872137825853253
GSE135893,TILD028,IPF,Epithelial,COL1A1,791,4267125.0,137.0,0.3210592612121745,0.27843388540616815
GSE135893,TILD028,IPF,Epithelial,COL3A1,791,4267125.0,8.0,0.01874798605618537,0.01857440869361733
GSE135893,TILD028,IPF,Epithelial,GPX3,791,4267125.0,47.0,0.11014441808008905,0.10449011323960058
GSE135893,TILD028,IPF,Epithelial,POSTN,791,4267125.0,81.0,0.18982335881887688,0.17380485813810226
GSE135893,TILD028,IPF,Epithelial,PTGFRN,791,4267125.0,61.0,0.14295339367841345,0.13361560854687404
GSE135893,TILD028,IPF,Epithelial,SPP1,791,4267125.0,71.0,0.1663883762486452,0.15391211672932678
GSE135893,TILD028,IPF,Immune,CD24,2951,20834800.0,193.0,0.09263347860310635,0.08859081773566191
GSE135893,TILD028,IPF,Immune,COL14A1,2951,20834800.0,4.0,0.0019198648415151573,0.0019180242564168796
GSE135893,TILD028,IPF,Immune,COL1A1,2951,20834800.0,15.0,0.00719949315568184,0.0071737005267476905
GSE135893,TILD028,IPF,Immune,COL3A1,2951,20834800.0,15.0,0.00719949315568184,0.0071737005267476905
GSE135893,TILD028,IPF,Immune,GPX3,2951,20834800.0,1004.0,0.4818860752203045,0.39331565159808474
GSE135893,TILD028,IPF,Immune,POSTN,2951,20834800.0,42.0,0.020158580835909153,0.019958086619506973
