series_id,broad_celltype,gene_symbol,ipf_donors,control_donors,ipf_mean_log1p_norm,control_mean_log1p_norm,ipf_minus_control_log1p_norm,welch_t,p_value,fdr_bh
GSE135893,Endothelial,POSTN,12,9,1.9011993943140382,0.923684054531157,0.9775153397828812,4.419561779831888,0.00047471917017380817,0.0017089890126257095
GSE136831,Endothelial,COL3A1,32,27,0.06459189824374204,0.016810703227779025,0.04778119501596301,3.6193707401889217,0.0008359088092429363,0.002865973060261496
GSE135893,Endothelial,SPP1,12,9,0.47088774461367994,0.017903396625192247,0.4529843479884877,4.412873870592545,0.0010002900513808024,0.0032736765317917175
GSE136831,Myeloid,POSTN,32,28,0.012408400751755899,0.0037216957762679554,0.008686704975487944,3.349844886999955,0.0019009071579235703,0.005802863328831533
GSE135893,Endothelial,PTGFRN,12,9,0.04594830708644911,0.008003722601286855,0.03794458448516226,3.846492584982733,0.001974945862598091,0.005802863328831533
GSE136831,Myeloid,COL3A1,32,28,0.03543671684496775,0.005406484795779767,0.03003023204918798,3.3626130508751757,0.002014883100288727,0.005802863328831533
GSE136831,Stromal,CD24,32,26,0.12331965084445451,0.029669067564854178,0.09365058327960032,3.23923415215127,0.002410080961764482,0.006591031993864809
GSE136831,Epithelial,COL3A1,32,28,0.09794076923444052,0.021380039497600443,0.07656072973684008,3.199855074279376,0.002471636997699303,0.006591031993864809
GSE135893,Mesenchymal,COL14A1,12,10,1.5384390393565337,0.7989279058678619,0.7395111334886718,3.4280435223570795,0.0028408900601569207,0.007305145868974939
GSE136831,Lymphoid,COL1A1,32,28,0.06221947224720782,0.011135470259182585,0.051084001988025235,3.19776386167503,0.003024414080286663,0.007508890130366887
GSE135893,Endothelial,GPX3,12,9,1.3843439283607273,2.4439474815543973,-1.05960355319367,-3.3176670099518355,0.005210909323870035,0.01193037871812825
GSE135893,Epithelial,COL3A1,12,10,0.04124351461459456,0.0052489921346877974,0.03599452247990676,3.4022546420148707,0.005246988720125335,0.01193037871812825
GSE135893,Mesenchymal,POSTN,12,10,1.5692953309302287,0.7638275695259852,0.8054677614042435,3.1283085763169725,0.005302390541390333,0.01193037871812825
GSE135893,Epithelial,COL1A1,12,10,0.29325349397567685,0.0740649140407691,0.21918857993490776,3.2970344710444417,0.0062739677684441235,0.013566991221318528
GSE136831,Stromal,COL14A1,32,26,1.086217946589152,0.7442058219606158,0.34201212462853614,2.8838769214699735,0.0064066347434004155,0.013566991221318528
GSE135893,Mesenchymal,PTGFRN,12,10,0.31181066080440023,0.1373311623478553,0.17447949845654492,2.9889768156080403,0.007299510841291073,0.015016136587798776
GSE135893,Endothelial,COL3A1,12,9,0.1341246013010876,0.045110179649582624,0.08901442165150499,3.1630950946712746,0.007698388606233908,0.015396777212467815
GSE136831,Lymphoid,COL3A1,32,28,0.039724594869029406,0.005119922844246603,0.034604672024782804,2.8243239575139536,0.008025701780624922,0.015617581843378227
GSE135893,Epithelial,COL14A1,12,10,0.011747674665948683,0.001896048400888361,0.009851626265060321,2.746133179681418,0.016436271355440096,0.03114240888399176
GSE136831,Epithelial,COL14A1,32,28,0.06990103689826929,0.10688506972435108,-0.036984032826081786,-2.4597025740276823,0.018644642623160068,0.034420878688910896
GSE135893,Endothelial,COL14A1,12,9,0.007724675357001865,0.0,0.007724675357001865,2.7363503719549613,0.01935733619531756,0.03484320515157161
GSE136831,Endothelial,CD24,32,27,0.039097306682170783,0.011035848390683752,0.028061458291487033,2.377389968396347,0.021262817097294037,0.03733958124402856
GSE136831,Lymphoid,GPX3,32,28,0.03908704410529813,0.0739979843962233,-0.034910940290925174,-2.400285110421157,0.021833457517779868,0.037428784316194064
GSE136831,Epithelial,PTGFRN,32,28,0.15972341761808379,0.10468432202087982,0.05503909559720396,2.338618729158174,0.025395295480856058,0.04252235522375898
GSE135893,Epithelial,POSTN,12,10,0.038102069096478765,0.003436631004911192,0.03466543809156757,2.530048255311854,0.027371031591685403,0.0447889607863943
GSE135893,Immune,POSTN,12,10,0.007484909357217101,0.0022265529039791404,0.005258356453237961,2.4401390420543785,0.03013281770993004,0.04821250833588807
GSE135893,Mesenchymal,GPX3,12,10,1.5382792582320794,2.5197281316894458,-0.9814488734573663,-2.452968246940316,0.031498507826280935,0.04930201224983103
GSE135893,Immune,CD24,12,10,0.04446900792091125,0.019617961959517864,0.024851045961393384,2.2856253031655447,0.033325098482471685,0.05105121469655237
GSE136831,Lymphoid,POSTN,32,28,0.014202657832888339,0.0052913634317755896,0.008911294401112749,2.136768787214588,0.036951874246780314,0.05542781137017047
GSE136831,Myeloid,COL14A1,32,28,0.05138486420838909,0.07088713812029349,-0.019502273911904393,-2.124867410808718,0.03810023075900237,0.055984012543840216
GSE135893,Epithelial,CD24,12,10,1.7539845212216196,1.1536186106472948,0.6003659105743249,2.177387550403471,0.04852353064622701,0.06987388413056689
GSE135893,Immune,GPX3,12,10,0.3091053096852093,0.5639941902151439,-0.2548888805299346,-2.1187900428178486,0.0575349658107611,0.08122583408578037
GSE136831,Epithelial,POSTN,32,28,0.0402733318466242,0.021129041116966365,0.019144290729657832,1.7777479081161855,0.0807310591963852,0.11178146657961027
GSE135893,Endothelial,COL1A1,12,9,0.025446163009985978,0.007713927815451196,0.017732235194534783,1.7423209507555488,0.09880873734735635,0.13423073752848408
GSE135893,Mesenchymal,CD24,12,10,0.16402772008583325,0.08177608599978091,0.08225163408605234,1.4374540347087137,0.16617430820893736,0.22156574427858314
GSE135893,Mesenchymal,SPP1,12,10,0.5739966212876354,0.013030939172782877,0.5609656821148525,1.4340581428011139,0.1793056870897975,0.2347274449175531
GSE135893,Endothelial,CD24,12,9,0.05221681350927307,0.030238224166280032,0.021978589342993037,1.248190224576101,0.22852228220340845,0.2938143628329537
GSE136831,Myeloid,GPX3,32,28,0.44060603956616107,0.50821325346038,-0.06760721389421898,-1.1822167407542683,0.24381423005180683,0.30797586953912437
GSE135893,Mesenchymal,COL1A1,12,10,3.328824562744568,2.846182793277456,0.4826417694671119,1.1719074921222024,0.26377400807494633,0.32744359623096786
GSE135893,Mesenchymal,COL3A1,12,10,3.2226142153886665,2.8111564030235088,0.41145781236515777,1.1032826864246206,0.29177196102396596,0.35606069819873815
GSE136831,Endothelial,PTGFRN,32,27,0.04728014812844056,0.062321207603007224,-0.015041059474566666,-0.977371809884932,0.33428707453886936,0.3989175050566024
