gene_set,input_symbol,SYMBOL,ENTREZID,GENENAME
background_gse32537_all_tested_annotated_mrna,ACSF2,ACSF2,80221,acyl-CoA synthetase family member 2
background_gse32537_all_tested_annotated_mrna,ACSL1,ACSL1,2180,acyl-CoA synthetase long chain family member 1
background_gse32537_all_tested_annotated_mrna,ACSL3,ACSL3,2181,acyl-CoA synthetase long chain family member 3
background_gse32537_all_tested_annotated_mrna,ACSL4,ACSL4,2182,acyl-CoA synthetase long chain family member 4
background_gse32537_all_tested_annotated_mrna,ACSL5,ACSL5,51703,acyl-CoA synthetase long chain family member 5
background_gse32537_all_tested_annotated_mrna,ACSM3,ACSM3,6296,acyl-CoA synthetase medium chain family member 3
background_gse32537_all_tested_annotated_mrna,ACSS2,ACSS2,55902,acyl-CoA synthetase short chain family member 2
background_gse32537_all_tested_annotated_mrna,ACSS3,ACSS3,79611,acyl-CoA synthetase short chain family member 3
background_gse32537_all_tested_annotated_mrna,ACTA2,ACTA2,59,"actin alpha 2, smooth muscle"
background_gse32537_all_tested_annotated_mrna,ACTA2-AS1,ACTA2-AS1,100132116,ACTA2 antisense RNA 1
background_gse32537_all_tested_annotated_mrna,ACTC1,ACTC1,70,actin alpha cardiac muscle 1
background_gse32537_all_tested_annotated_mrna,ACTG2,ACTG2,72,"actin gamma 2, smooth muscle"
background_gse32537_all_tested_annotated_mrna,ACTL6A,ACTL6A,86,actin like 6A
background_gse32537_all_tested_annotated_mrna,ACTN1,ACTN1,87,actinin alpha 1
background_gse32537_all_tested_annotated_mrna,ACTN2,ACTN2,88,actinin alpha 2
background_gse32537_all_tested_annotated_mrna,ACTR3C,ACTR3C,653857,actin related protein 3C
background_gse32537_all_tested_annotated_mrna,ACTR6,ACTR6,64431,actin related protein 6
background_gse32537_all_tested_annotated_mrna,ACTR8,ACTR8,93973,actin related protein 8
background_gse32537_all_tested_annotated_mrna,ACVR2A,ACVR2A,92,activin A receptor type 2A
background_gse32537_all_tested_annotated_mrna,ACVRL1,ACVRL1,94,activin A receptor like type 1
background_gse32537_all_tested_annotated_mrna,ADA,ADA,100,adenosine deaminase
background_gse32537_all_tested_annotated_mrna,ADAL,ADAL,,
background_gse32537_all_tested_annotated_mrna,ADAM12,ADAM12,8038,ADAM metallopeptidase domain 12
background_gse32537_all_tested_annotated_mrna,ADAM17,ADAM17,6868,ADAM metallopeptidase domain 17
background_gse32537_all_tested_annotated_mrna,ADAM19,ADAM19,8728,ADAM metallopeptidase domain 19
background_gse32537_all_tested_annotated_mrna,ADAM20,ADAM20,8748,ADAM metallopeptidase domain 20
background_gse32537_all_tested_annotated_mrna,ADAM20P1,ADAM20P1,317760,ADAM metallopeptidase domain 20 pseudogene 1
background_gse32537_all_tested_annotated_mrna,ADAM21,ADAM21,8747,ADAM metallopeptidase domain 21
background_gse32537_all_tested_annotated_mrna,ADAM22,ADAM22,53616,ADAM metallopeptidase domain 22
background_gse32537_all_tested_annotated_mrna,ADAM23,ADAM23,8745,ADAM metallopeptidase domain 23
background_gse32537_all_tested_annotated_mrna,ADAM28,ADAM28,10863,ADAM metallopeptidase domain 28
background_gse32537_all_tested_annotated_mrna,ADAM8,ADAM8,101,ADAM metallopeptidase domain 8
background_gse32537_all_tested_annotated_mrna,ADAMDEC1,ADAMDEC1,27299,ADAM like decysin 1
background_gse32537_all_tested_annotated_mrna,ADAMTS1,ADAMTS1,9510,ADAM metallopeptidase with thrombospondin type 1 motif 1
background_gse32537_all_tested_annotated_mrna,ADAMTS12,ADAMTS12,81792,ADAM metallopeptidase with thrombospondin type 1 motif 12
background_gse32537_all_tested_annotated_mrna,ADAMTS14,ADAMTS14,140766,ADAM metallopeptidase with thrombospondin type 1 motif 14
background_gse32537_all_tested_annotated_mrna,ADAMTS15,ADAMTS15,170689,ADAM metallopeptidase with thrombospondin type 1 motif 15
background_gse32537_all_tested_annotated_mrna,ADAMTS16,ADAMTS16,170690,ADAM metallopeptidase with thrombospondin type 1 motif 16
background_gse32537_all_tested_annotated_mrna,ADAMTS18,ADAMTS18,170692,ADAM metallopeptidase with thrombospondin type 1 motif 18
background_gse32537_all_tested_annotated_mrna,ADAMTS2,ADAMTS2,9509,ADAM metallopeptidase with thrombospondin type 1 motif 2
background_gse32537_all_tested_annotated_mrna,ADAMTS3,ADAMTS3,9508,ADAM metallopeptidase with thrombospondin type 1 motif 3
background_gse32537_all_tested_annotated_mrna,ADAMTS4,ADAMTS4,9507,ADAM metallopeptidase with thrombospondin type 1 motif 4
background_gse32537_all_tested_annotated_mrna,ADAMTS5,ADAMTS5,11096,ADAM metallopeptidase with thrombospondin type 1 motif 5
background_gse32537_all_tested_annotated_mrna,ADAMTS6,ADAMTS6,11174,ADAM metallopeptidase with thrombospondin type 1 motif 6
background_gse32537_all_tested_annotated_mrna,ADAMTS8,ADAMTS8,11095,ADAM metallopeptidase with thrombospondin type 1 motif 8
background_gse32537_all_tested_annotated_mrna,ADAMTS9,ADAMTS9,56999,ADAM metallopeptidase with thrombospondin type 1 motif 9
background_gse32537_all_tested_annotated_mrna,ADAMTSL1,ADAMTSL1,92949,ADAMTS like 1
background_gse32537_all_tested_annotated_mrna,ADAMTSL2,ADAMTSL2,9719,ADAMTS like 2
background_gse32537_all_tested_annotated_mrna,ADAMTSL3,ADAMTSL3,57188,ADAMTS like 3
background_gse32537_all_tested_annotated_mrna,ADAMTSL4,ADAMTSL4,54507,ADAMTS like 4
background_gse32537_all_tested_annotated_mrna,ADAMTSL4-AS1,ADAMTSL4-AS1,574406,ADAMTSL4 antisense RNA 1
background_gse32537_all_tested_annotated_mrna,ADAP1,ADAP1,11033,ArfGAP with dual PH domains 1
background_gse32537_all_tested_annotated_mrna,ADAP2,ADAP2,55803,ArfGAP with dual PH domains 2
background_gse32537_all_tested_annotated_mrna,ADARB1,ADARB1,104,adenosine deaminase RNA specific B1
background_gse32537_all_tested_annotated_mrna,ADAT2,ADAT2,134637,adenosine deaminase tRNA specific 2
background_gse32537_all_tested_annotated_mrna,ADCY10P1,ADCY10P1,221442,ADCY10 pseudogene 1
background_gse32537_all_tested_annotated_mrna,ADCY2,ADCY2,108,adenylate cyclase 2
background_gse32537_all_tested_annotated_mrna,ADCY3,ADCY3,109,adenylate cyclase 3
background_gse32537_all_tested_annotated_mrna,ADCY4,ADCY4,196883,adenylate cyclase 4
background_gse32537_all_tested_annotated_mrna,ADCY5,ADCY5,111,adenylate cyclase 5
background_gse32537_all_tested_annotated_mrna,ADCY7,ADCY7,113,adenylate cyclase 7
background_gse32537_all_tested_annotated_mrna,ADCY8,ADCY8,114,adenylate cyclase 8
background_gse32537_all_tested_annotated_mrna,ADCY9,ADCY9,115,adenylate cyclase 9
background_gse32537_all_tested_annotated_mrna,ADCYAP1,ADCYAP1,116,adenylate cyclase activating polypeptide 1
background_gse32537_all_tested_annotated_mrna,ADD2,ADD2,119,adducin 2
background_gse32537_all_tested_annotated_mrna,ADD3,ADD3,120,adducin 3
background_gse32537_all_tested_annotated_mrna,ADGB,ADGB,79747,androglobin
background_gse32537_all_tested_annotated_mrna,ADH1A,ADH1A,124,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
background_gse32537_all_tested_annotated_mrna,ADH1B,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide"
background_gse32537_all_tested_annotated_mrna,ADH1C,ADH1C,126,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
background_gse32537_all_tested_annotated_mrna,ADH7,ADH7,131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
background_gse32537_all_tested_annotated_mrna,ADHFE1,ADHFE1,137872,alcohol dehydrogenase iron containing 1
background_gse32537_all_tested_annotated_mrna,ADI1,ADI1,55256,acireductone dioxygenase 1
background_gse32537_all_tested_annotated_mrna,ADIPOQ,ADIPOQ,9370,"adiponectin, C1Q and collagen domain containing"
background_gse32537_all_tested_annotated_mrna,ADIPOR2,ADIPOR2,79602,adiponectin receptor 2
background_gse32537_all_tested_annotated_mrna,ADIRF,ADIRF,10974,adipogenesis regulatory factor
background_gse32537_all_tested_annotated_mrna,ADK,ADK,132,adenosine kinase
background_gse32537_all_tested_annotated_mrna,ADM,ADM,133,adrenomedullin
background_gse32537_all_tested_annotated_mrna,ADNP,ADNP,23394,activity dependent neuroprotector homeobox
background_gse32537_all_tested_annotated_mrna,ADORA2B,ADORA2B,136,adenosine A2b receptor
background_gse32537_all_tested_annotated_mrna,ADORA3,ADORA3,140,adenosine A3 receptor
background_gse32537_all_tested_annotated_mrna,ADPGK,ADPGK,83440,ADP dependent glucokinase
background_gse32537_all_tested_annotated_mrna,ADPRH,ADPRH,141,ADP-ribosylarginine hydrolase
background_gse32537_all_tested_annotated_mrna,ADRA1A,ADRA1A,148,adrenoceptor alpha 1A
background_gse32537_all_tested_annotated_mrna,ADRA1B,ADRA1B,147,adrenoceptor alpha 1B
background_gse32537_all_tested_annotated_mrna,ADRA2A,ADRA2A,150,adrenoceptor alpha 2A
background_gse32537_all_tested_annotated_mrna,ADRA2C,ADRA2C,152,adrenoceptor alpha 2C
background_gse32537_all_tested_annotated_mrna,ADRB1,ADRB1,153,adrenoceptor beta 1
background_gse32537_all_tested_annotated_mrna,ADRB2,ADRB2,154,adrenoceptor beta 2
background_gse32537_all_tested_annotated_mrna,ADRBK2,ADRBK2,,
background_gse32537_all_tested_annotated_mrna,ADRM1,ADRM1,11047,ADRM1 26S proteasome ubiquitin receptor
background_gse32537_all_tested_annotated_mrna,ADSL,ADSL,158,adenylosuccinate lyase
background_gse32537_all_tested_annotated_mrna,ADSS,ADSS,,
background_gse32537_all_tested_annotated_mrna,ADSSL1,ADSSL1,,
background_gse32537_all_tested_annotated_mrna,ADTRP,ADTRP,84830,androgen dependent TFPI regulating protein
background_gse32537_all_tested_annotated_mrna,AEBP1,AEBP1,165,AE binding protein 1
background_gse32537_all_tested_annotated_mrna,AEN,AEN,64782,apoptosis enhancing nuclease
background_gse32537_all_tested_annotated_mrna,AFAP1,AFAP1,60312,actin filament associated protein 1
background_gse32537_all_tested_annotated_mrna,AFAP1L1,AFAP1L1,134265,actin filament associated protein 1 like 1
background_gse32537_all_tested_annotated_mrna,AFAP1L2,AFAP1L2,84632,actin filament associated protein 1 like 2
background_gse32537_all_tested_annotated_mrna,AFF2,AFF2,2334,ALF transcription elongation factor 2
background_gse32537_all_tested_annotated_mrna,AFF3,AFF3,3899,ALF transcription elongation factor 3
background_gse32537_all_tested_annotated_mrna,AFMID,AFMID,125061,arylformamidase
background_gse32537_all_tested_annotated_mrna,AGA,AGA,175,aspartylglucosaminidase
background_gse32537_all_tested_annotated_mrna,AGAP5,AGAP5,729092,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
background_gse32537_all_tested_annotated_mrna,AGAP6,AGAP6,414189,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
background_gse32537_all_tested_annotated_mrna,AGAP7P,AGAP7P,653268,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene"
background_gse32537_all_tested_annotated_mrna,AGBL1,AGBL1,123624,AGBL carboxypeptidase 1
background_gse32537_all_tested_annotated_mrna,AGBL2,AGBL2,79841,AGBL carboxypeptidase 2
background_gse32537_all_tested_annotated_mrna,AGBL4,AGBL4,84871,AGBL carboxypeptidase 4
background_gse32537_all_tested_annotated_mrna,AGER,AGER,177,advanced glycosylation end-product specific receptor
background_gse32537_all_tested_annotated_mrna,AGFG1,AGFG1,3267,ArfGAP with FG repeats 1
background_gse32537_all_tested_annotated_mrna,AGL,AGL,178,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
background_gse32537_all_tested_annotated_mrna,AGMO,AGMO,392636,alkylglycerol monooxygenase
background_gse32537_all_tested_annotated_mrna,AGO2,AGO2,27161,argonaute RISC catalytic component 2
background_gse32537_all_tested_annotated_mrna,AGPAT2,AGPAT2,10555,1-acylglycerol-3-phosphate O-acyltransferase 2
background_gse32537_all_tested_annotated_mrna,AGPAT4,AGPAT4,56895,1-acylglycerol-3-phosphate O-acyltransferase 4
background_gse32537_all_tested_annotated_mrna,AGPAT5,AGPAT5,55326,1-acylglycerol-3-phosphate O-acyltransferase 5
background_gse32537_all_tested_annotated_mrna,AGPAT9,AGPAT9,,
background_gse32537_all_tested_annotated_mrna,AGPS,AGPS,8540,alkylglycerone phosphate synthase
