data_type,standard_feature_id,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed
miRNA,hsa-miR-203,-1.34545923830189,7.94740789059202e-12,down,True,1.19806007572222,0.004299690113673,up,True,-1.77142818657051,0.0114935003892317,down,True,2,1,1,True,True
miRNA,hsa-miR-205,1.80931917833962,2.79190137328567e-08,up,True,1.89259225427778,0.0159519481848598,up,True,1.91180542903846,0.656209506007511,up,False,2,2,1,True,True
miRNA,hsa-miR-20a,-1.10212172264151,2.0683615020529e-07,down,True,1.30229548061111,0.0465657430506481,up,True,-0.282079691891025,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-210,-1.66995579735849,5.3916423370641095e-11,down,True,-0.9956915735,0.0033255902034526,down,False,-0.83903575275641,0.0143794272913202,down,False,2,2,0,False,False
miRNA,hsa-miR-223,-1.62415654264151,3.16491752308429e-13,down,True,2.89141874144444,0.0083855630527453,up,True,-0.924299920038461,0.0280162558227419,down,False,2,1,0,False,False
miRNA,hsa-miR-25,-1.15584843490566,9.97294498414685e-09,down,True,0.946262039888889,0.156950911388411,up,False,-0.141836436474359,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-27a,-1.28107510754717,5.23838032993309e-05,down,True,2.76960968188889,0.0021108463776711,up,True,0.184790132179487,0.812704864847636,up,False,2,0,0,False,False
miRNA,hsa-miR-29a,-1.24264335660377,4.46211457441708e-08,down,True,1.41478759372222,0.007291112689868,up,True,0.102163904038462,0.812704864847636,up,False,2,0,0,False,False
miRNA,hsa-miR-30a,-1.39235319245283,1.97329730817415e-12,down,True,-2.04331125177778,0.0001401873837834,down,True,-0.658526965628205,0.335370207170535,down,False,2,2,1,True,True
miRNA,hsa-miR-30a-star,-1.21636693509434,1.05951482372265e-10,down,True,,,missing,False,,,missing,False,0,0,0,False,False
miRNA,hsa-miR-30d,-1.3825413490566,5.50378061628144e-13,down,True,-1.39915257222222,0.0057354419796961,down,True,-0.809833411410256,0.0381449830503092,down,False,2,2,1,True,True
miRNA,hsa-miR-31,2.34222752471698,1.28435907605202e-08,up,True,0.8069548125,0.0385568809230071,up,False,2.47480734407692,0.015337759672021,up,True,2,2,1,True,True
miRNA,hsa-miR-320d,-1.13243491320755,1.06291584946458e-06,down,True,,,missing,False,,,missing,False,0,0,0,False,False
miRNA,hsa-miR-345,-1.55204808018868,2.37004939653943e-18,down,True,-0.873838944055556,0.0096495185634422,down,False,0.125842267692308,0.812704864847636,up,False,2,1,0,False,False
miRNA,hsa-miR-34c-3p,2.28563587924528,1.9128528412681e-08,up,True,0.943585454833335,0.0019832323418705,up,False,-0.273795941205129,0.890037569279583,down,False,2,1,0,False,False
miRNA,hsa-miR-34c-5p,2.33108630471698,3.3592383884623e-07,up,True,1.78671642683333,0.0210034486123939,up,True,0.182061773076923,0.912564117578072,up,False,2,2,1,True,True
miRNA,hsa-miR-362-5p,-1.39968316,2.37004939653943e-18,down,True,0.794178530055555,0.0472942563019747,up,False,-0.47885583525641,0.069818489342712,down,False,2,1,0,False,False
miRNA,hsa-miR-375,-1.5199519354717,2.7550623237396902e-14,down,True,-0.722806009222222,0.0739311021929599,down,False,-1.10318109134615,0.0218306479279626,down,True,2,2,1,True,True
miRNA,hsa-miR-378,-1.48347202075472,7.59929026840315e-11,down,True,-0.683565618500001,0.0472942563019747,down,False,-0.0543261178205129,0.908181092306098,down,False,2,2,0,False,False
miRNA,hsa-miR-423-3p,-1.26878055849056,4.52606873040057e-14,down,True,-0.269300486166667,0.468056983915304,down,False,-0.107089810108974,0.812704864847636,down,False,2,2,0,False,False
miRNA,hsa-miR-423-5p,-1.53885300377358,2.95915781444888e-10,down,True,-2.32528154938889,0.0025404371921477,down,True,-0.125128243141026,0.813350470240112,down,False,2,2,1,True,True
miRNA,hsa-miR-425,-1.14746198490566,9.17016658156584e-08,down,True,1.05303871794444,0.0340837027785739,up,True,-0.526275006153846,0.292580404059796,down,False,2,1,0,False,False
miRNA,hsa-miR-500,-1.06121498716981,7.72441240833531e-16,down,True,-0.655339897611111,0.0179846278905455,down,False,-0.285080321538462,0.812704864847636,down,False,2,2,0,False,False
miRNA,hsa-miR-500-star,-1.66988885566038,3.1621824644723404e-15,down,True,,,missing,False,,,missing,False,0,0,0,False,False
miRNA,hsa-miR-502-3p,-1.5595321,5.92007973060071e-14,down,True,-0.117586976388888,0.668257367404058,down,False,-0.747410853846153,0.0315372889512105,down,False,2,2,0,False,False
miRNA,hsa-miR-532-5p,-1.9021268,5.0310358313725496e-18,down,True,0.704981627888889,0.0619094332380497,up,False,-0.421415520192307,0.101435527150625,down,False,2,1,0,False,False
miRNA,hsa-miR-652,-1.87139393773585,8.441187582170141e-15,down,True,0.774586211,0.0244615966228428,up,False,-0.819297637724359,0.015337759672021,down,False,2,1,0,False,False
miRNA,hsa-miR-663,-1.19931061509434,0.0001609672943201,down,True,-0.951688137722222,0.0063660978333918,down,False,0.255403452102564,0.812704864847636,up,False,2,1,0,False,False
miRNA,hsa-miR-744,-1.11186306792453,2.3672022146571e-06,down,True,0.500569239111112,0.0777246515968545,up,False,-0.196688844314103,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-92a,-1.07152392264151,6.04998625818804e-07,down,True,-1.16027482761111,0.0361895974777781,down,True,-0.235659244833333,0.68978001151415,down,False,2,2,1,True,True
miRNA,spike_in-control-23,-1.28665930188679,2.31970617341716e-11,down,True,,,missing,False,,,missing,False,0,0,0,False,False
