data_type,standard_feature_id,gene_symbol,mirna_name,discovery_series_id,discovery_logFC,discovery_adj_p,discovery_p_value,discovery_direction,GSE110147_present,GSE110147_logFC,GSE110147_adj_p,GSE110147_p_value,GSE110147_same_direction,GSE110147_same_direction_fdr_sig,GSE110147_same_direction_nominal_sig,GSE150910_present,GSE150910_logFC,GSE150910_adj_p,GSE150910_p_value,GSE150910_same_direction,GSE150910_same_direction_fdr_sig,GSE150910_same_direction_nominal_sig,GSE53845_present,GSE53845_logFC,GSE53845_adj_p,GSE53845_p_value,GSE53845_same_direction,GSE53845_same_direction_fdr_sig,GSE53845_same_direction_nominal_sig,GSE92592_present,GSE92592_logFC,GSE92592_adj_p,GSE92592_p_value,GSE92592_same_direction,GSE92592_same_direction_fdr_sig,GSE92592_same_direction_nominal_sig,validation_datasets_total,validation_datasets_present,same_direction_validation_count,opposite_direction_validation_count,same_direction_fdr_sig_count,same_direction_nominal_sig_count,direction_consistency_fraction,robust_strict,robust_relaxed,robust_score,validation_details
bulk mRNA,LTBP1,LTBP1,,GSE32537,1.04178810588236,2.99045371844606e-25,3.77873231368497e-27,up,True,2.03936909090909,1.29385137059359e-18,1.83797849142796e-20,True,True,True,True,1.175511849638,4.984384866014851e-25,5.10930514420787e-27,True,True,True,True,1.1267925,4.99849291922335e-06,1.06065581456691e-07,True,True,True,True,1.64951251348517,1.909599626938e-09,2.0497942541798695e-11,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.04/FDR=1.29e-18; GSE150910:1.18/FDR=4.98e-25; GSE53845:1.13/FDR=5e-06; GSE92592:1.65/FDR=1.91e-09
bulk mRNA,COL17A1,COL17A1,,GSE32537,1.23274177478992,3.20285523366269e-25,4.07392464867556e-27,up,True,1.08704545454546,1.15545407243806e-08,2.5409634682619503e-09,True,True,True,True,4.20914910447056,5.79715144552368e-27,4.14696017563401e-29,True,True,True,True,2.750575,1.21029014345008e-08,6.080969989041859e-11,True,True,True,True,4.76651471589721,1.54437232154735e-12,8.06924540635389e-16,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.09/FDR=1.16e-08; GSE150910:4.21/FDR=5.8e-27; GSE53845:2.75/FDR=1.21e-08; GSE92592:4.77/FDR=1.54e-12
bulk mRNA,CRTAC1,CRTAC1,,GSE32537,-1.36154435462185,5.61714498471689e-25,7.42685278314033e-27,down,True,-2.21345772727273,3.660144542007369e-16,1.2949065292623e-17,True,True,True,True,-1.99883409785046,1.10460644552015e-19,2.76916870082707e-21,True,True,True,True,-1.67968,6.07201806677294e-07,7.88071335989727e-09,True,True,True,True,-2.06630021220025,1.16972180599099e-08,2.08983852334943e-10,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-2.21/FDR=3.66e-16; GSE150910:-2/FDR=1.1e-19; GSE53845:-1.68/FDR=6.07e-07; GSE92592:-2.07/FDR=1.17e-08
bulk mRNA,CP,CP,,GSE32537,2.75203735462185,5.926518350182141e-25,7.98468162660522e-27,up,True,3.72295090909091,1.50818749768666e-09,2.82369008036118e-10,True,True,True,True,2.11035855895771,6.14314984537986e-24,7.40329329822797e-26,True,True,True,True,2.426385,0.0002466409980492,1.27892380939664e-05,True,True,True,True,2.42361494865577,1.05914990137433e-06,5.57042715144113e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:3.72/FDR=1.51e-09; GSE150910:2.11/FDR=6.14e-24; GSE53845:2.43/FDR=0.000247; GSE92592:2.42/FDR=1.06e-06
bulk mRNA,SULF1,SULF1,,GSE32537,1.4188341092437,6.4883608864242e-25,8.79593693389723e-27,up,True,2.04891954545455,1.18790042793407e-15,4.962517629985581e-17,True,True,True,True,1.93431459170657,4.55871444839358e-34,4.11303746068893e-37,True,True,True,True,2.5878975,1.13275303492541e-09,3.01146538553339e-12,True,True,True,True,2.27989534361428,1.42514580872727e-08,2.65757746700301e-10,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.05/FDR=1.19e-15; GSE150910:1.93/FDR=4.56e-34; GSE53845:2.59/FDR=1.13e-09; GSE92592:2.28/FDR=1.43e-08
bulk mRNA,COL3A1,COL3A1,,GSE32537,1.61665883193278,8.19109228236334e-25,1.13098763731377e-26,up,True,3.07319636363637,8.5964480691898e-21,4.16950012648741e-23,True,True,True,True,2.29485652031602,9.23146979790312e-28,5.17585791336967e-30,True,True,True,True,1.8811475,0.0011339410519062,8.36074097539684e-05,True,True,True,True,3.4183048588637,2.8738174585372295e-11,5.455295270519e-14,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:3.07/FDR=8.6e-21; GSE150910:2.29/FDR=9.23e-28; GSE53845:1.88/FDR=0.00113; GSE92592:3.42/FDR=2.87e-11
bulk mRNA,IL13RA2,IL13RA2,,GSE32537,1.54234252605042,1.55784796520189e-24,2.25529454376508e-26,up,True,2.40626136363636,2.73482842405369e-13,2.3580780266865302e-14,True,True,True,True,4.11812862139204,1.00045373614207e-29,4.12638004208883e-32,True,True,True,True,3.390215,3.91839607817656e-11,4.5873905305481705e-14,True,True,True,True,4.2764459515602,2.6731586979229895e-11,4.92514304234597e-14,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.41/FDR=2.73e-13; GSE150910:4.12/FDR=1e-29; GSE53845:3.39/FDR=3.92e-11; GSE92592:4.28/FDR=2.67e-11
bulk mRNA,SPATA18,SPATA18,,GSE32537,2.08388771764706,1.68914242644214e-24,2.45950445356428e-26,up,True,1.67331318181818,7.33896851163511e-06,2.59047052038464e-06,True,True,True,True,1.26030635859903,1.49002949197025e-07,2.57348652347764e-08,True,True,True,True,1.0319375,0.0188876015447906,0.0028513930819703,True,True,True,True,1.27395139903686,0.003800842027659,0.0010964742759708,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.67/FDR=7.34e-06; GSE150910:1.26/FDR=1.49e-07; GSE53845:1.03/FDR=0.0189; GSE92592:1.27/FDR=0.0038
bulk mRNA,TP63,TP63,,GSE32537,1.4472136907563,3.98086233811967e-22,8.461414509476111e-24,up,True,1.32510545454546,1.41396748126923e-05,5.22875382072502e-06,True,True,True,True,2.43264186177184,2.79764211223817e-12,2.09683429563253e-13,True,True,True,True,2.5802925,6.57363881859709e-05,2.55249585346502e-06,True,True,True,True,1.76380894646873,5.88603329120786e-05,7.13777249092931e-06,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.33/FDR=1.41e-05; GSE150910:2.43/FDR=2.8e-12; GSE53845:2.58/FDR=6.57e-05; GSE92592:1.76/FDR=5.89e-05
bulk mRNA,ITLN2,ITLN2,,GSE32537,-1.02581151932773,7.681008028846569e-22,1.70974739386878e-23,down,True,-1.23295227272727,7.20869743968086e-09,1.52716916657683e-09,True,True,True,True,-5.46011472064074,2.1598308064093893e-34,1.67029513932543e-37,True,True,True,True,-3.180145,4.91757091028125e-06,1.03748752131543e-07,True,True,True,True,-5.67370531248066,3.6620284494535695e-12,3.74933144614355e-15,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.23/FDR=7.21e-09; GSE150910:-5.46/FDR=2.16e-34; GSE53845:-3.18/FDR=4.92e-06; GSE92592:-5.67/FDR=3.66e-12
bulk mRNA,SYNPO2,SYNPO2,,GSE32537,1.58025794621849,1.63359860152541e-21,3.90970041871355e-23,up,True,1.34584227272727,1.30398067445026e-08,2.90034563924036e-09,True,True,True,True,1.05046499663387,6.15886186076953e-13,4.21519062714264e-14,True,True,True,True,1.0790875,0.0045082845145347,0.0004618518119373,True,True,True,True,1.32048759988592,1.11406128706497e-05,9.73427454780123e-07,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.35/FDR=1.3e-08; GSE150910:1.05/FDR=6.16e-13; GSE53845:1.08/FDR=0.00451; GSE92592:1.32/FDR=1.11e-05
bulk mRNA,KRT5,KRT5,,GSE32537,2.55156716470589,7.48343597922729e-21,2.11665385855968e-22,up,True,2.81710590909091,7.86867588770062e-08,1.99428644671609e-08,True,True,True,True,4.17837334386575,5.28302643984601e-16,2.30155692036856e-17,True,True,True,True,2.14448,0.0019149190625132,0.0001584712287587,True,True,True,True,4.68158719781488,5.16188217747664e-05,6.12416929659867e-06,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.82/FDR=7.87e-08; GSE150910:4.18/FDR=5.28e-16; GSE53845:2.14/FDR=0.00191; GSE92592:4.68/FDR=5.16e-05
bulk mRNA,CLDN1,CLDN1,,GSE32537,1.51826676470589,9.19195196331401e-21,2.62297541379923e-22,up,True,1.19418,0.0001714081948674,7.65898165972157e-05,True,True,True,True,2.30974370612427,3.98196811767204e-13,2.65344785311135e-14,True,True,True,True,2.335575,7.9129114243211e-09,3.47396111311658e-11,True,True,True,True,1.4169721173734,3.23530863539845e-05,3.50065777198493e-06,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.19/FDR=0.000171; GSE150910:2.31/FDR=3.98e-13; GSE53845:2.34/FDR=7.91e-09; GSE92592:1.42/FDR=3.24e-05
bulk mRNA,COL1A2,COL1A2,,GSE32537,1.06647727394958,1.7067498260278602e-20,5.08454341477755e-22,up,True,2.54464636363637,2.66909770572739e-21,9.69939701453627e-24,True,True,True,True,1.3852954890688,3.3892229884037704e-19,9.2230447819958e-21,True,True,True,True,1.05881,0.0056078487972646,0.0006104861885645,True,True,True,True,2.14312162399732,2.48064609323932e-09,2.7699693967275097e-11,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.54/FDR=2.67e-21; GSE150910:1.39/FDR=3.39e-19; GSE53845:1.06/FDR=0.00561; GSE92592:2.14/FDR=2.48e-09
bulk mRNA,CCDC80,CCDC80,,GSE32537,1.68951806386555,2.4020032452543502e-20,7.43716485978336e-22,up,True,1.98401318181818,5.78540222223402e-10,1.00080838514184e-10,True,True,True,True,1.82438621363258,2.3254855744041e-19,6.16301088613734e-21,True,True,True,True,1.1923575,0.0002199184489957,1.10924720127612e-05,True,True,True,True,2.07191066053809,3.33787165141859e-05,3.64364552856338e-06,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.98/FDR=5.79e-10; GSE150910:1.82/FDR=2.33e-19; GSE53845:1.19/FDR=0.00022; GSE92592:2.07/FDR=3.34e-05
bulk mRNA,INMT,INMT,,GSE32537,-1.3118885092437,3.1917483681381703e-20,1.01227835274005e-21,down,True,-1.65447136363636,1.3489855671729602e-09,2.50594588794701e-10,True,True,True,True,-1.39105393817423,1.84254596291843e-20,4.13228069276029e-22,True,True,True,True,-1.4261375,1.43469260524293e-06,2.24651866479503e-08,True,True,True,True,-1.23817869884351,1.6706617200606e-06,9.81260750099802e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.65/FDR=1.35e-09; GSE150910:-1.39/FDR=1.84e-20; GSE53845:-1.43/FDR=1.43e-06; GSE92592:-1.24/FDR=1.67e-06
bulk mRNA,TMEM100,TMEM100,,GSE32537,-1.90452697647059,3.97761960196732e-20,1.28149250774679e-21,down,True,-3.02769954545455,9.57017508950222e-11,1.43191916076223e-11,True,True,True,True,-2.55948892329867,5.72689033137353e-21,1.18472114221235e-22,True,True,True,True,-2.9002575,1.61510153882437e-05,4.55409630152752e-07,True,True,True,True,-2.23498752741964,3.22834737857724e-05,3.48114690257557e-06,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-3.03/FDR=9.57e-11; GSE150910:-2.56/FDR=5.73e-21; GSE53845:-2.9/FDR=1.62e-05; GSE92592:-2.23/FDR=3.23e-05
bulk mRNA,SFRP4,SFRP4,,GSE32537,1.42136302689076,3.1543092115762304e-19,1.19045477357396e-20,up,True,1.69421272727273,2.57860698533231e-06,8.41956186579357e-07,True,True,True,True,1.22661517714491,2.4058422012211403e-10,2.4822796701392297e-11,True,True,True,True,2.219355,2.2178563060458e-05,6.76716643625193e-07,True,True,True,True,1.22737218108173,0.003774166849182,0.001087514661863,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.69/FDR=2.58e-06; GSE150910:1.23/FDR=2.41e-10; GSE53845:2.22/FDR=2.22e-05; GSE92592:1.23/FDR=0.00377
bulk mRNA,SMAD6,SMAD6,,GSE32537,-1.30330969243698,3.28590521385892e-19,1.24561929864275e-20,down,True,-1.65671227272727,8.9903366317656e-11,1.34030186023018e-11,True,True,True,True,-1.326833532577,4.3086454395404e-10,4.6426855544960697e-11,True,True,True,True,-1.34315,3.35006244417145e-05,1.11695984419082e-06,True,True,True,True,-1.41845394632434,0.0003014680769808,5.15042329049957e-05,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.66/FDR=8.99e-11; GSE150910:-1.33/FDR=4.31e-10; GSE53845:-1.34/FDR=3.35e-05; GSE92592:-1.42/FDR=0.000301
