data_type,standard_feature_id,GSE32537_logFC,GSE32537_adj_p,GSE32537_direction,GSE32537_fdr_sig,GSE110147_logFC,GSE110147_adj_p,GSE110147_direction,GSE110147_fdr_sig,GSE150910_logFC,GSE150910_adj_p,GSE150910_direction,GSE150910_fdr_sig,GSE53845_logFC,GSE53845_adj_p,GSE53845_direction,GSE53845_fdr_sig,GSE92592_logFC,GSE92592_adj_p,GSE92592_direction,GSE92592_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig
bulk mRNA,ASPN,2.87354942016807,8.212072888495109e-43,up,True,1.58992318181818,1.60771778016373e-08,up,True,1.80975550260201,4.39658130216993e-22,up,True,2.7469375,2.11203536706676e-08,up,True,1.95601656607536,6.25986508483529e-08,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,BPIFA1,1.54559970588236,2.41936659042874e-05,up,True,2.32555454545455,0.0003812877068962,up,True,3.64273983901047,3.20071372975072e-07,up,True,0.955740000000002,0.345690884585342,up,False,6.04971350082243,0.0082009192453032,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,BPIFB1,3.36174814957984,1.49868522756291e-14,up,True,3.84632772727273,1.18655038270448e-05,up,True,3.22473021894355,7.79620877005339e-12,up,True,2.0000825,0.0239434297349857,up,True,5.40442647880927,3.38642914477421e-05,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,BTNL9,-1.71953186218488,1.6914077557203598e-26,down,True,-1.70402227272727,1.94611481160835e-10,down,True,-2.54496230319646,1.16096952378035e-27,down,True,-2.1552825,1.02699501316077e-12,down,True,-3.37823702594257,1.09438889765905e-11,down,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,C10orf107,1.3942592487395,2.71439007508452e-12,up,True,1.82827545454546,5.23036082751673e-05,up,True,,,missing,False,0.4881625,0.429960212947912,up,False,0.800853374961012,0.122539596759388,up,False,3,3,1,False,False,,,,,,,,,,,,
bulk mRNA,C11orf70,1.10117420672269,4.0479084532273696e-11,up,True,1.35954045454546,0.0001348123276106,up,True,,,missing,False,0.63755,0.262874201355627,up,False,1.35945028975746,0.0030006435932034,up,True,3,3,2,True,True,,,,,,,,,,,,
bulk mRNA,C11orf88,1.53216283361345,3.55574292995638e-13,up,True,1.06341818181818,0.0182335739654689,up,True,1.92833364285831,2.61784617879744e-07,up,True,0.974612500000001,0.349301456904735,up,False,1.22833721030438,0.105261016291744,up,False,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,C12orf55,1.92334392436975,2.9019031398579e-19,up,True,2.54529318181818,6.35469946861063e-07,up,True,,,missing,False,,,missing,False,,,missing,False,1,1,1,False,False,,,,,,,,,,,,
bulk mRNA,C12orf75,1.09939216134454,6.01230490283885e-28,up,True,-0.637147272727272,0.0022133363312538,down,False,1.12959194120432,1.18816899628489e-13,up,True,1.3436675,1.9146947634544e-05,up,True,0.907840889188813,0.002194391882831,up,False,4,3,2,True,True,,,,,,,,,,,,
bulk mRNA,C1orf110,1.01512366386555,4.4468415303495205e-09,up,True,1.43198090909091,0.0007212208745908,up,True,,,missing,False,0.439225,0.417965033133853,up,False,2.01398086755268,0.0094697196467336,up,True,3,3,2,True,True,,,,,,,,,,,,
bulk mRNA,C1orf192,1.60682360672269,3.25143927338671e-14,up,True,0.685708636363637,0.124439736406809,up,False,,,missing,False,0.3543625,0.204089544355703,up,False,0.845165204248904,0.0159556167154028,up,False,3,3,0,False,False,,,,,,,,,,,,
bulk mRNA,C1orf194,2.06959196302521,4.05318936232373e-14,up,True,0.378267727272729,0.479605768418986,up,False,2.27475074557917,4.2579099811206e-09,up,True,0.948627500000001,0.292790729524404,up,False,1.49271671672823,0.0368479020960878,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,C1orf87,1.27473922521009,8.95820437196213e-12,up,True,0.692612272727273,0.0496099946062858,up,False,1.70207188942778,1.34449157305224e-06,up,True,0.444530000000001,0.570110280143969,up,False,1.53632624249294,0.0732698771079571,up,False,4,4,1,False,True,,,,,,,,,,,,
