series_id,sample_accession,sample_id,data_type,original_disease_label,included_excluded,final_analysis_label,reason_for_exclusion_or_inclusion,source_field_used_for_annotation,annotation_file,annotation_sheet
GSE110147,GSM2978780,GSM2978780,bulk mRNA,group=Exclude | subgroup=NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978781,GSM2978781,bulk mRNA,group=Exclude | subgroup=NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978782,GSM2978782,bulk mRNA,group=Exclude | subgroup=NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978783,GSM2978783,bulk mRNA,group=Exclude | subgroup=NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978784,GSM2978784,bulk mRNA,group=Exclude | subgroup=IPF-NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=IPF-NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978785,GSM2978785,bulk mRNA,group=Exclude | subgroup=IPF-NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=IPF-NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978786,GSM2978786,bulk mRNA,group=Exclude | subgroup=IPF-NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=IPF-NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978787,GSM2978787,bulk mRNA,group=Exclude | subgroup=IPF-NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=IPF-NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978788,GSM2978788,bulk mRNA,group=Exclude | subgroup=IPF-NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=IPF-NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978789,GSM2978789,bulk mRNA,group=Control | subgroup=control | tissue=Lung tissue,included,Control,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
